Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Roller blinds,As per technical specification,2,Nos,lppf@810cetc,15
2,Digital wall clock 39.6 x 39.6 cm,As per technical specification,4,Nos,lppf@810cetc,15
3,Wall clock 32 x 32cm,As per technical specification,1,Nos,lppf@810cetc,15
4,Water Camper 10 Ltr ,As per technical specification,2,Nos,lppf@810cetc,15
5,Water Camper 20 Ltr ,As per technical specification,2,Nos,lppf@810cetc,15
6,Hot case 4 SS container,As per technical specification,3,Nos,lppf@810cetc,15
7,Hot case 5 SS container,As per technical specification,2,Nos,lppf@810cetc,15
8,Cup 6 pcs,As per technical specification,3,Set,lppf@810cetc,15
9,Cup with saucer 6 pcs,As per technical specification,2,Set,lppf@810cetc,15
10,Cristal glass 6 pcs,As per technical specification,1,Set,lppf@810cetc,15
11,Pedestal Fan 400mm ,As per technical specification,4,Nos,lppf@810cetc,15
12,Wall Fan 400mm,As per technical specification,1,Nos,lppf@810cetc,15
13,Biometric attendance machine face and finger recognition,As per technical specification,1,Nos,lppf@810cetc,15
14,Water dispenser hot and cold 14 ltr,As per technical specification,1,Nos,lppf@810cetc,15
15,Towel long size 57 inch x 28 inch,As per technical specification,1,Nos,lppf@810cetc,15
16,Hand Towel size 16 inch x 24 inch,As per technical specification,2,Nos,lppf@810cetc,15
17,Steel lancer stand with embroidery logo flags,As per technical specification,2,Nos,lppf@810cetc,15
18,Desert air cooler 80 ltr,As per technical specification,1,Nos,lppf@810cetc,15
19,Stainless steel container 10kg ,As per technical specification,4,Nos,lppf@810cetc,15
20,Stainless steel container 5kg ,As per technical specification,4,Nos,lppf@810cetc,15
21,Palta Iron 3ft,As per technical specification,1,Nos,lppf@810cetc,15
22,Jhara Iron 3ft,As per technical specification,1,Nos,lppf@810cetc,15
23,Casserole SS 10 ltr,As per technical specification,1,Nos,lppf@810cetc,15
24,Tea can 10 ltr,As per technical specification,1,Nos,lppf@810cetc,15
25,Tea can 5 ltr,As per technical specification,1,Nos,lppf@810cetc,15
26,Umbrella heavy duty,As per technical specification,2,Nos,lppf@810cetc,15
27,Volleyball,As per technical specification,2,Nos,lppf@810cetc,15
28,Badminton shuttlecock ,As per technical specification,4,Box,lppf@810cetc,15
