Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,AI Workstation Server,SECURITY RELATED EQUIPMENT (SRE),1, Nos ,QM608,15
2,IMC Management Console ,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
3,24 TB NAS with HDD,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
4,OFC 12 Core U A,SECURITY RELATED EQUIPMENT (SRE),10000, Mtr ,QM608,15
5,2 MP PTZ Camera Optical zoom 25 and Digital 16 ,SECURITY RELATED EQUIPMENT (SRE),12,Nos,QM608,15
6,Optical to Ethernet Convertor 1G ,SECURITY RELATED EQUIPMENT (SRE),7, Pair ,QM608,15
7,NVR 128 Channel  ,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
8,24 Port L2 Manageable POE Switch with 04  1G SFP Port ,SECURITY RELATED EQUIPMENT (SRE),3, Nos ,QM608,15
9,8 Port L 2 Manageable POE Switch with 02  1G SFP Port ,SECURITY RELATED EQUIPMENT (SRE),10, Nos ,QM608,15
10,SFP Module 20 KM single mode with double fiber ,SECURITY RELATED EQUIPMENT (SRE),36, Nos ,QM608,15
11,Optical to Ethernet OTE Assembler ,SECURITY RELATED EQUIPMENT (SRE),3, Nos ,QM608,15
12,Digital Display Device 55 Inch ,SECURITY RELATED EQUIPMENT (SRE),3, Nos ,QM608,15
13,HDMI Matrix Switcher 8 8 ,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
14,9 U Rack Wall Mount ,SECURITY RELATED EQUIPMENT (SRE),16, Nos ,QM608,15
15,UPS 5 KVA with 60 Min backup ,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
16,UPS 1 KVA with 30 Min Backup ,SECURITY RELATED EQUIPMENT (SRE),15, Nos ,QM608,15
17,Power Strip 05 Sockets ,SECURITY RELATED EQUIPMENT (SRE),16, Nos ,QM608,15
18,Passive BNC DC to RJ45 Network Transceiver Cat 5 Adapter  ,SECURITY RELATED EQUIPMENT (SRE),50, Nos  ,QM608,15
19,UTP Cable Cat 6 ,SECURITY RELATED EQUIPMENT (SRE),12, Roll ,QM608,15
20,RJ45 Connector Cat 6 Pkt of 100 Nos ,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
21,Crimping Tool ,SECURITY RELATED EQUIPMENT (SRE),2, Nos ,QM608,15
22,Patch Cord LC LC 5 Mtr ,SECURITY RELATED EQUIPMENT (SRE),100, Nos ,QM608,15
23,Patch Cord SC SC 5 Mtr ,SECURITY RELATED EQUIPMENT (SRE),100, Nos ,QM608,15
24,HDMI Cable 10 Mtr ,SECURITY RELATED EQUIPMENT (SRE),10, Nos ,QM608,15
25,USB Extension Cable ,SECURITY RELATED EQUIPMENT (SRE),5, Nos ,QM608,15
26,USB to Ethernet Converter ,SECURITY RELATED EQUIPMENT (SRE),10, Nos ,QM608,15
27,ZIP Tie 6 Inch Pkt of 100 Nos ,SECURITY RELATED EQUIPMENT (SRE),5, Nos ,QM608,15
28,Flexible Conduit Pipe 2 inch ,SECURITY RELATED EQUIPMENT (SRE),100, Mtr ,QM608,15
29,U Clip Plastic 10 mm Diameter Pkt of 100 Nos ,SECURITY RELATED EQUIPMENT (SRE),3, Nos ,QM608,15
30,Screw 2 Inch Pkt of 100 Nos ,SECURITY RELATED EQUIPMENT (SRE),5, Nos ,QM608,15
31,Insulation Tape 1 Inch ,SECURITY RELATED EQUIPMENT (SRE),20, Roll ,QM608,15
32,Cello Tape 2 inch,SECURITY RELATED EQUIPMENT (SRE),40, Roll ,QM608,15
33,Installation Charges of all items,SECURITY RELATED EQUIPMENT (SRE),1,Job,QM608,15
