Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Fully Automated Biochemistry Analyzer,As per draft RFP,1,Numbers,ba_eeS.2222,180
2,Hematology Cell Counter,As per draft RFP,1,Numbers,ba_eeS.2222,180
3,HB A One C Automatic Analyzer,As per draft RFP,2,Numbers,ba_eeS.2222,180
4,Centrifuge,As per draft RFP,1,Numbers,ba_eeS.2222,180
5,Electrolyte Analyzer,As per draft RFP,1,Numbers,ba_eeS.2222,180
6,Urine Analyzer,As per draft RFP,1,Numbers,ba_eeS.2222,180
7,Immunoassay Analyzer,As per draft RFP,1,Numbers,ba_eeS.2222,180
8,Multipara Cardiac Monitor,As per draft RFP,2,Numbers,ba_eeS.2222,180
9,Control Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
10,LEF AST ALP Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
11,Bilirubin Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
12,Protein and Albumin Reagent ,As per draft RFP,6,Numbers,ba_eeS.2222,180
13,Diluent Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
14,Lyser Reagent for Hematology analyser,As per draft RFP,6,Numbers,ba_eeS.2222,180
15,HBAIC Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
16,Cleanser Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
17,Urea Reagent ,As per draft RFP,6,Numbers,ba_eeS.2222,180
18,Creatinine Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
19,Glucose Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
20,Calcium Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
21,Cardiac Makers Reagent,As per draft RFP,6,Numbers,ba_eeS.2222,180
22,Strip Box,As per draft RFP,20,Numbers,ba_eeS.2222,180
23,Blood Collection Tubes ,As per draft RFP,20,Numbers,ba_eeS.2222,180
24,Combination Therapy  Unit,As per draft RFP,1,Numbers,ba_eeS.2222,180
25,Cupping Therapy Set,As per draft RFP,1,Numbers,ba_eeS.2222,180
26,Needles oblique syringe Destroyer,As per draft RFP,2,Numbers,ba_eeS.2222,180
27,BP Machine and stethoscope ,As per draft RFP,1,Numbers,ba_eeS.2222,180
28,Automated External Defibrillator,As per draft RFP,1,Numbers,ba_eeS.2222,180
29,Electric Sterilizer Machine,As per draft RFP,2,Numbers,ba_eeS.2222,180
30,Refrigerator,As per draft RFP,1,Numbers,ba_eeS.2222,180
31,Consumables item,As per draft RFP,1,Boxes,ba_eeS.2222,180
32,ECG Machine,As per draft RFP,1,Numbers,ba_eeS.2222,180
33,Lab Assistance Tranging ,As per draft RFP,1,Numbers,ba_eeS.2222,180
34,Desktop PC and Printer,As per draft RFP,1,Sets,ba_eeS.2222,180
35,Lab Furniture,As per draft RFP,1,Numbers,ba_eeS.2222,180
