Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,white files with customised name,Printing of forms,150,No,procoffr@mhpanaji,15
2,Injury report,Printing of forms,10,Pad,procoffr@mhpanaji,15
3,Vehicle car diary,Printing of forms,14,No,procoffr@mhpanaji,15
4,Medical case sheet AFMSF 7A,Printing of forms,25,Pad,procoffr@mhpanaji,15
5,Haematology Lab form AFMSF 9,Printing of forms,25,Pad,procoffr@mhpanaji,15
6,Biochemistry lab form AFMSF 9,Printing of forms,15,Pad,procoffr@mhpanaji,15
7,Special investigation form AFMSF 9,Printing of forms,8,Pad,procoffr@mhpanaji,15
8,Prescription form AFMSF 9,Printing of forms,15,Pad,procoffr@mhpanaji,15
9,Monthly diet sheet IAFM 1282,Printing of forms,15,Pad,procoffr@mhpanaji,15
10,MTP consent form,Printing of forms,2,Pad,procoffr@mhpanaji,15
11,Referral form,Printing of forms,5,Pad,procoffr@mhpanaji,15
12,Death cerificate AFMSF 93,Printing of forms,2,Pad,procoffr@mhpanaji,15
13,Admission slip AFMSF 8B,Printing of forms,10,Pad,procoffr@mhpanaji,15
14,Medicine Indent book,Printing of forms,2,No,procoffr@mhpanaji,15
15,colour files,Printing of forms,460,No,procoffr@mhpanaji,15
