Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,PTMT Long Body Bib Cock,PTMT Long Body Bib Cock,100,Pcs,gcrpr@crpf.gov.in,15
2,PTMT Short Body Bib Cock,PTMT Short Body Bib Cock,650,Pcs,gcrpr@crpf.gov.in,15
3,PTMT Pillar Cock 15mm,PTMT Pillar Cock 15mm,300,Pcs,gcrpr@crpf.gov.in,15
4,CP Pillar Cock 15MM,CP Pillar Cock 15MM,20,Pcs,gcrpr@crpf.gov.in,15
5,CP Bib Cock 15MM,CP Bib Cock 15MM,25,Pcs,gcrpr@crpf.gov.in,15
6,GI Nipple 15 MM,GI Nipple 15 MM,250,Pcs,gcrpr@crpf.gov.in,15
7,20 mm G.I Nipple,20 mm G.I Nipple,220,Pcs,gcrpr@crpf.gov.in,15
8,25 MM GI Nipple,25 MM GI Nipple,80,Pcs,gcrpr@crpf.gov.in,15
9,Union 15 mm GI,Union 15 mm GI,150,Pcs,gcrpr@crpf.gov.in,15
10,Union 20 mm GI,Union 20 mm GI,100,Pcs,gcrpr@crpf.gov.in,15
11,Union 25 mm GI,Union 25 mm GI,35,Pcs,gcrpr@crpf.gov.in,15
12,15mm G.I Pipe,15mm G.I Pipe,40,Mtr,gcrpr@crpf.gov.in,15
13,20mm G.I Pipe,20mm G.I Pipe,40,Mtr,gcrpr@crpf.gov.in,15
14,25mm G.I Pipe,25mm G.I Pipe,40,Mtr,gcrpr@crpf.gov.in,15
15,15mm GI Tank Nipple,15mm GI Tank Nipple,70,Pcs,gcrpr@crpf.gov.in,15
16,20mm GI Tank Nipple,20mm GI Tank Nipple,60,Pcs,gcrpr@crpf.gov.in,15
17,15mm G.I Tee,15mm G.I Tee,70,Pcs,gcrpr@crpf.gov.in,15
18,20mm G.I Tee,20mm G.I Tee,60,Pcs,gcrpr@crpf.gov.in,15
19,25mm G.I Tee,25mm G.I Tee,50,Pcs,gcrpr@crpf.gov.in,15
20,GI Socket 20 mm,GI Socket 20 mm,350,Pcs,gcrpr@crpf.gov.in,15
21,GI Elbow 15 mm,GI Elbow 15 mm,180,Pcs,gcrpr@crpf.gov.in,15
22,GI Elbow 20 mm,GI Elbow 20 mm,120,Pcs,gcrpr@crpf.gov.in,15
23,GI Elbow 25 mm,GI Elbow 25 mm,50,Pcs,gcrpr@crpf.gov.in,15
24,CP Angle Cock 15MM,CP Angle Cock 15MM,50,Pcs,gcrpr@crpf.gov.in,15
25,PTMT Angle Cock 15 MM,PTMT Angle Cock 15 MM,230,Pcs,gcrpr@crpf.gov.in,15
26,PTMT Ball Cock 15 mm,PTMT Ball Cock 15 mm,500,Pcs,gcrpr@crpf.gov.in,15
27,PVC Connection Pipe,PVC Connection Pipe,300,Pcs,gcrpr@crpf.gov.in,15
28,32mm HDPE Waste Pipe,32mm HDPE Waste Pipe,350,Pcs,gcrpr@crpf.gov.in,15
29,PTFE Teflon Tape,PTFE Teflon Tape,70,Pcs,gcrpr@crpf.gov.in,15
30,Dhaga,Dhaga,300,Pcs,gcrpr@crpf.gov.in,15
31,GI Plug 15mm,GI Plug 15mm,500,Pcs,gcrpr@crpf.gov.in,15
32,Two in One Bib Cock,Two in One Bib Cock,5,Pcs,gcrpr@crpf.gov.in,15
33,PTMT Waste Copling 32mm,PTMT Waste Copling 32mm,80,Pcs,gcrpr@crpf.gov.in,15
34,CP Waste Coupling 32mm,CP Waste Coupling 32mm,25,Pcs,gcrpr@crpf.gov.in,15
35,PTMT Ball Set For Sistern,PTMT Ball Set For Sistern,100,Pcs,gcrpr@crpf.gov.in,15
36,Wash Basin,Wash Basin,10,Pcs,gcrpr@crpf.gov.in,15
37,Indian Toilet Seat,Indian Toilet Seat,10,Pcs,gcrpr@crpf.gov.in,15
38,English Toilet Seat S type,English Toilet Seat S-type,5,Pcs,gcrpr@crpf.gov.in,15
39,GI Reducer Socket 25 x 20,GI Reducer Socket 25 x 20,100,Pcs,gcrpr@crpf.gov.in,15
40,Lead Sikka,Lead Sikka,160,kg,gcrpr@crpf.gov.in,15
41,PVC Pipe 4 Inch Elbow,PVC Pipe 4 Inch Elbow,10,Pcs,gcrpr@crpf.gov.in,15
42,PVC Pipe 4 Inch 6 mtr,PVC Pipe 4 Inch 6 mtr,8,piece,gcrpr@crpf.gov.in,15
43,CP Health Faucet set,CP Health Faucet set,30,Pcs,gcrpr@crpf.gov.in,15
44,English Toilet Seat Cover,English Toilet Seat Cover,10,Pcs,gcrpr@crpf.gov.in,15
45,Jet Sprey ,Jet Sprey ,30,Pcs,gcrpr@crpf.gov.in,15
46,M Seal,M Seal,10,Pcs,gcrpr@crpf.gov.in,15
47,Hand Shower,Hand Shower,5,Pcs,gcrpr@crpf.gov.in,15
48,Hexa blade,Hexa blade,100,Pcs,gcrpr@crpf.gov.in,15
49,P Trap,P Trap,10,Pcs,gcrpr@crpf.gov.in,15
