Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Inj ARV 1 ml   ID and IM ,Drugs And Pharmaceutical Products,100,pieces,AMOCHCKARATAGI25,15
2,Inj Tramodol,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
3,In TT 0.5ml,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
4,RBS Strips   Glucospark or Gluco one BG3  ,Drugs And Pharmaceutical Products,1500,pieces,AMOCHCKARATAGI25,15
5,Drip Set ,Drugs And Pharmaceutical Products,1500,pieces,AMOCHCKARATAGI25,15
6,I V Pantoprazole ,Drugs And Pharmaceutical Products,300,pieces,AMOCHCKARATAGI25,15
7,Oint Silver sulphadiazine 125gms,Drugs And Pharmaceutical Products,15,pieces,AMOCHCKARATAGI25,15
8,Urine Collection Bags 2 liters,Drugs And Pharmaceutical Products,30,pieces,AMOCHCKARATAGI25,15
9,Inj Oxytocine,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
10,Inj Diclofenac 3ml,Drugs And Pharmaceutical Products,4000,pieces,AMOCHCKARATAGI25,15
11,Tab Sodium Valproate 500mg,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
12,Tab Alprazolam 0 25mg,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
13,Tab Clonazepam 0 5mg,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
14,Insulin Syringe 26g,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
15,Inj Dexamethasone,Drugs And Pharmaceutical Products,500,pieces,AMOCHCKARATAGI25,15
16,Inj Leviteracetam 5ml,Drugs And Pharmaceutical Products,30,pieces,AMOCHCKARATAGI25,15
17,Inj Diazepam,Drugs And Pharmaceutical Products,50,pieces,AMOCHCKARATAGI25,15
18,A D Plaster  1 meter x10 meters,Drugs And Pharmaceutical Products,50,pieces,AMOCHCKARATAGI25,15
19,Tab Olanzapine 10mg,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
20,Tab Amitryptaline 25mg,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
21,I V Ciprofloxacine 100ml,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
22,I V Metronidazole 100ml,Drugs And Pharmaceutical Products,300,pieces,AMOCHCKARATAGI25,15
23,I V NS 500ml,Drugs And Pharmaceutical Products,1500,pieces,AMOCHCKARATAGI25,15
24,I V NS 100ml,Drugs And Pharmaceutical Products,500,pieces,AMOCHCKARATAGI25,15
25,Oint Povidone Iodine 125gms,Drugs And Pharmaceutical Products,50,pieces,AMOCHCKARATAGI25,15
26,Inj Streptokinase,Drugs And Pharmaceutical Products,2,pieces,AMOCHCKARATAGI25,15
27,Inj Frusemide 2ml,Drugs And Pharmaceutical Products,50,pieces,AMOCHCKARATAGI25,15
28,Inj Ondansetron 2ml,Drugs And Pharmaceutical Products,500,pieces,AMOCHCKARATAGI25,15
29,Tab Glimepride 1mg,Drugs And Pharmaceutical Products,10000,pieces,AMOCHCKARATAGI25,15
30,Inj Adrenaline,Drugs And Pharmaceutical Products,50,pieces,AMOCHCKARATAGI25,15
31,Sanitiser 5 liters can,Drugs And Pharmaceutical Products,4,Cans,AMOCHCKARATAGI25,15
32,Inj  Ranitidine ,Drugs And Pharmaceutical Products,500,pieces,AMOCHCKARATAGI25,15
33,Inj Iron Sucrose 5ml,Drugs And Pharmaceutical Products,150,pieces,AMOCHCKARATAGI25,15
34,S V Set 23g,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
35,S V Set 24g,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
36,Liquid Hand Wash 5 LITERS,Drugs And Pharmaceutical Products,4,pieces,AMOCHCKARATAGI25,15
37,Phenyl   Black Disinfectant Solution   5 ltrs,Drugs And Pharmaceutical Products,5,Cans,AMOCHCKARATAGI25,15
38,Sterile Syringe 10cc 18G,Drugs And Pharmaceutical Products,300,pieces,AMOCHCKARATAGI25,15
39,Sterile Syringe 10cc 20G,Drugs And Pharmaceutical Products,300,pieces,AMOCHCKARATAGI25,15
40,Inj Pippercilline with tazobactum 4 5gms,Drugs And Pharmaceutical Products,20,pieces,AMOCHCKARATAGI25,15
41,ORS 21gms,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
42,ECG Gel  5 Liters can,Drugs And Pharmaceutical Products,2,Cans,AMOCHCKARATAGI25,15
43,Tab Calcium 500mg,Drugs And Pharmaceutical Products,20000,pieces,AMOCHCKARATAGI25,15
44,VDRL,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
45,HBsAg,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
46,EDTA Kit,Drugs And Pharmaceutical Products,1000,pieces,AMOCHCKARATAGI25,15
47,Tab CPM 4mg,Drugs And Pharmaceutical Products,20000,pieces,AMOCHCKARATAGI25,15
48,Tab Cetrizine 10mg,Drugs And Pharmaceutical Products,20000,pieces,AMOCHCKARATAGI25,15
49,Monohydrate Glucose powder 75gms,Drugs And Pharmaceutical Products,50,pieces,AMOCHCKARATAGI25,15
50,I V Cannula 20g,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
51,i v Cannula 22g,Drugs And Pharmaceutical Products,200,pieces,AMOCHCKARATAGI25,15
