Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Instrument plastic filling double ended 10 mm blade,Instrument plastic filling double ended 10 mm blade,2,No,Tusharshinde,15
2,Instrument plastic filling 1,Instrument plastic filling 1,1,No,Tusharshinde,15
3,Instrument plastic filling double ended for packing,Instrument plastic filling double ended for packing,2,No,Tusharshinde,15
4,Instrument plastic filling double ended wallis,Instrument plastic filling double ended wallis,2,No,Tusharshinde,15
5,Instrument plastic filling double ended condenser edward,Instrument plastic filling double ended condenser edward,1,No,Tusharshinde,15
6,DG 16 endodontic explorer,DG 16 endodontic explorer,2,No,Tusharshinde,15
7,LED Xray viewer with brightness control wall mounted size 14 inches X 17 inches,LED Xray viewer with brightness control wall mounted size 14 inches X 17 inches,2,No,Tusharshinde,15
8,Impression trays rimlock for dentulous arches upper and lower sizes 1 2 3,Impression trays rimlock for dentulous arches upper and lower sizes 1 2 3,2,No,Tusharshinde,15
9,Matrix retainer SS ivory pattern complete,Matrix retainer SS ivory pattern complete,2,No,Tusharshinde,15
10,outfit matrix retainer SS siqveland,outfit matrix retainer SS siqveland,2,No,Tusharshinde,15
11,Box autoclavable perforated stand for endodontic hand rotary instrument,Box autoclavable perforated stand for endodontic hand rotary instrument,2,No,Tusharshinde,15
