Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,House Assy,House Assy,02,Nos,aschauhan@72er,15
2,House Assy,House Assy,02,Nos,aschauhan@72er,15
3,House Assy,House Assy,02,Nos,aschauhan@72er,15
4,F House,F House,02,Nos,aschauhan@72er,15
5,House Water,House Water,02,Nos,aschauhan@72er,15
6,House,House,02,Nos,aschauhan@72er,15
7,O ring,O ring,02,Nos,aschauhan@72er,15
8,Clamp House,Clamp House,06,Nos,aschauhan@72er,15
9,Clamp House,Clamp House,06,Nos,aschauhan@72er,15
10,House Air Cleaner,House Air Cleaner,02,Nos,aschauhan@72er,15
11,House Clamp,House Clamp,02,Nos,aschauhan@72er,15
12,House Clamp,House Clamp,02,Nos,aschauhan@72er,15
13,House Elbow,House Elbow,01,Nos,aschauhan@72er,15
14,House Clamp,House Clamp,01,Nos,aschauhan@72er,15
15,Gasket,Gasket,01,Nos,aschauhan@72er,15
16,Air cleaner,Air cleaner,01,Nos,aschauhan@72er,15
17,Element Inter,Element Inter,01,Nos,aschauhan@72er,15
18,Element Outer,Element Outer,02,Nos,aschauhan@72er,15
19,Dip Stick,Dip Stick,02,Nos,aschauhan@72er,15
20,Fuel Filter,Fuel Filter,01,Nos,aschauhan@72er,15
21,Cap Vandalism,Cap Vandalism,02,Nos,aschauhan@72er,15
22,Air Breather Assy,Air Breather Assy,02,Nos,aschauhan@72er,15
23,House Fuel Supply,House Fuel Supply,01,Nos,aschauhan@72er,15
24,House fuel Drain,House fuel Drain,01,Nos,aschauhan@72er,15
25,Nut,Nut,03,Nos,aschauhan@72er,15
26,House Assy,House Assy,02,Nos,aschauhan@72er,15
27,House Assy,House Assy,02,Nos,aschauhan@72er,15
28,By Pass Filter,By Pass Filter,02,Nos,aschauhan@72er,15
29,Element Filter,Element Filter,02,Nos,aschauhan@72er,15
30,House Assy,House Assy,02,Nos,aschauhan@72er,15
31,House Clamp,House Clamp,12,Nos,aschauhan@72er,15
32,Nut,Nut,03,Nos,aschauhan@72er,15
33,Instrument Panel,Instrument Panel,01,Nos,aschauhan@72er,15
34,House Assy,House Assy,02,Nos,aschauhan@72er,15
35,House Assy,House Assy,02,Nos,aschauhan@72er,15
36,Ammeter,Ammeter,02,Nos,aschauhan@72er,15
37,Wire Harness,Wire Harness,02,Nos,aschauhan@72er,15
38,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
39,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
40,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
41,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
42,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
43,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
44,Wire Harness,Wire Harness,03,Nos,aschauhan@72er,15
45,Clamp ,Clamp ,09,Nos,aschauhan@72er,15
46,Screw,Screw,09,Nos,aschauhan@72er,15
47,Foot Dimmer Switch,Foot Dimmer Switch,01,Nos,aschauhan@72er,15
48,Grommet,Grommet,01,Nos,aschauhan@72er,15
49,Pressure Switch,Pressure Switch,01,Nos,aschauhan@72er,15
50,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
51,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
52,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
53,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
54,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
55,Wire Harness,Wire Harness,02,Nos,aschauhan@72er,15
56,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
57,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
58,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
59,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
60,Cable Assy,Cable Assy,05,Nos,aschauhan@72er,15
61,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
62,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
63,Cable Assy,Cable Assy,02,Nos,aschauhan@72er,15
64,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
65,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
66,Cable Assy,Cable Assy,01,Nos,aschauhan@72er,15
67,Terminal Batery ,Terminal Batery ,06,Nos,aschauhan@72er,15
68,Cable Assy,Cable Assy,03,Nos,aschauhan@72er,15
69,Cap Small,Cap Small,03,Nos,aschauhan@72er,15
70,Head Lamp,Head Lamp,04,Nos,aschauhan@72er,15
71,Turn Singhle Lamp,Turn Singhle Lamp,04,Nos,aschauhan@72er,15
72,Fuse Box,Fuse Box,03,Nos,aschauhan@72er,15
