Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,White Cloth,Best Quality ,40,Mtr,SAYANTAN067,21
2,Red Cloth,Best Quality ,30,Mtr,SAYANTAN067,21
3,Combat Cloth,Best Quality ,30,Mtr,SAYANTAN067,21
4,Coated Textiles Fabric Knitted Cloth White Rexene,Best Quality ,95,Mtr,SAYANTAN067,21
5,Duracell AAA,Best Quality ,30,Nos,SAYANTAN067,21
6,Battery 1.5V Everyday,Best Quality ,30,Nos,SAYANTAN067,21
7,Led Light,Best Quality ,90,Nos,SAYANTAN067,21
8,9V Battery Hi Watt,Best Quality ,80,Nos,SAYANTAN067,21
9,Bottom Wire,Best Quality ,30,Nos,SAYANTAN067,21
10,Red Paint,Best Quality ,4,Ltr,SAYANTAN067,21
11,Blue Paint,Best Quality ,2,Ltr,SAYANTAN067,21
12,Yellow Paint,Best Quality ,2,Ltr,SAYANTAN067,21
13,Green Paint,Best Quality ,13,Ltr,SAYANTAN067,21
14,Black Paint,Best Quality ,6,Ltr,SAYANTAN067,21
15,White Paint,Best Quality ,8,Ltr,SAYANTAN067,21
16,Sand Bag,Best Quality ,500,Nos,SAYANTAN067,21
17,Illuminating Hand Light,Best Quality ,10,Nos,SAYANTAN067,21
18,Firing Hand Generator Wire 1.5 MM Copper Single Core,Best Quality ,990,Mtr,SAYANTAN067,21
19,Paint Brush 3 Inch,Best Quality ,3,Nos,SAYANTAN067,21
20,Male and Female Plug,Best Quality ,20,Nos,SAYANTAN067,21
21,Electric Board 1 Socket 16 Amp,Best Quality ,9,Nos,SAYANTAN067,21
22,Insulation Tape,Best Quality ,40,Nos,SAYANTAN067,21
23,White Board Marker Black Non Permanent,Best Quality ,24,Nos,SAYANTAN067,21
24,White Board Marker Blue Non Permanent,Best Quality ,12,Nos,SAYANTAN067,21
25,White Board Marker Green Non Permanent,Best Quality ,12,Nos,SAYANTAN067,21
26,White Board Marker Red Non Permanent,Best Quality ,12,Nos,SAYANTAN067,21
27,White Board Duster,Best Quality ,3,Nos,SAYANTAN067,21
28,Clip Board Omega,Best Quality ,2,Nos,SAYANTAN067,21
