Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days),
1,Baclofen XL 30 mg Tab,Baclofen XL 30 mg Tab,120,No,5AFHECHS@MEDSTORE,20,
2,Paroxetine 20 mg CR Tab,Paroxetine 20 mg CR Tab,360,No,5AFHECHS@MEDSTORE,20,
3,Ranolazine  500 mg Tab ,Ranolazine  500 mg Tab ,6000,No,5AFHECHS@MEDSTORE,20,
4,Prucalopride 2 mg,Prucalopride 2 mg,360,No,5AFHECHS@MEDSTORE,20,
5,Prednisolone 10 mg Tab,Prednisolone 10 mg Tab,1320,No,5AFHECHS@MEDSTORE,20,
6,Semaglutide 3 mg Tab,Semaglutide 3 mg Tab,180,No,5AFHECHS@MEDSTORE,20,
7,Tab Acarbose 25 mg,Tab Acarbose 25 mg,9900,No,5AFHECHS@MEDSTORE,20,
8,Tab Diltiazem 30 mg ,Tab Diltiazem 30 mg ,1980,No,5AFHECHS@MEDSTORE,20,
9,Tab Pioglitazone 30 mg,Tab Pioglitazone 30 mg,3060,No,5AFHECHS@MEDSTORE,20,
10,"Dologel Lidocaine HCl,CholineSalicalcylate","Dologel Lidocaine HCl,CholineSalicalcylate",180,Tube,5AFHECHS@MEDSTORE,20,
11,Tab Thiocolchicoside 8 mg ,Tab Thiocolchicoside 8 mg ,1260,No,5AFHECHS@MEDSTORE,20,
12,Adapaline 0.1percent and Clindamycin1 percent Gel,Adapaline 0.1percent and Clindamycin1 percent Gel,378,Tube,5AFHECHS@MEDSTORE,20,
13,Salicylic Acid 2percent and Ketoconazole 2percent Shampoo,Salicylic Acid 2percent and Ketoconazole 2percent Shampoo,624,Bott,5AFHECHS@MEDSTORE,20,
14,"Brimonidine Tartrate 0.15percent, Eye drops","Brimonidine Tartrate 0.15percent, Eye drops",60,Bott,5AFHECHS@MEDSTORE,20,
15,Mometasone 0.1percent and Fusidic Acid 2percent Cream,Mometasone 0.1percent and Fusidic Acid 2percent Cream,270,Tube,5AFHECHS@MEDSTORE,20,
16,Tab L Ornithine L Asparate,Tab L Ornithine L Asparate,540,No,5AFHECHS@MEDSTORE,20,
17,Tab Amlodepine 2.5 mg,Tab Amlodepine 2.5 mg,15300,No,5AFHECHS@MEDSTORE,20,
18,Tab Nifedipine 10 mg,Tab Nifedipine 10 mg,1860,No,5AFHECHS@MEDSTORE,20,
19,Tab Lacosamide 50 mg,Tab Lacosamide 50 mg,3600,No,5AFHECHS@MEDSTORE,20,
20,Tab Rosuvastatin 10 mg,Tab Rosuvastatin 10 mg,1800,No,5AFHECHS@MEDSTORE,20,
21,Tab Silodosin 8 mg and Dutasteride 0.5 mg,Tab Silodosin 8 mg and Dutasteride 0.5 mg,1800,No,5AFHECHS@MEDSTORE,20,
22,Tab Torsemide 10 mg and Spironolactone 50 mg,Tab Torsemide 10 mg and Spironolactone 50 mg,1200,No,5AFHECHS@MEDSTORE,20,
23,Hypermellose 0.3percent with Dextran 70 with Glycerin Eye Drops 10ml,Hypermellose 0.3percent with Dextran 70 with Glycerin Eye Drops 10ml,120,Bott,5AFHECHS@MEDSTORE,20,
24,5percent Amorolfine wv Medicated Nail Lacquer,5percent Amorolfine wv Medicated Nail Lacquer,150,Bott,5AFHECHS@MEDSTORE,20,
