Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,BULB 24V 2W,BULB 24V 2W,20,EACH,somanna_12,30
2,BATTERY LUGS POSITIVE,BATTERY LUGS POSITIVE,10,EACH,somanna_12,30
3,SIDE INDICATOR COVER,SIDE INDICATOR COVER,8,EACH,somanna_12,30
4,WIPER ARM WITH BLADE,WIPER ARM WITH BLADE,6,EACH,somanna_12,30
5,ASSY TAIL LAMP WITH BULB LH,ASSY TAIL LAMP WITH BULB LH,6,EACH,somanna_12,30
6,ASSY TAIL LAMP WITH BULB RH,ASSY TAIL LAMP WITH BULB RH,6,EACH,somanna_12,30
7,FRONT INDICATOR COVER,FRONT INDICATOR COVER,8,EACH,somanna_12,30
8,BULB 12V   6W,BULB 12V   6W,20,EACH,somanna_12,30
9,DOOR GLASS HANDLE REGULATOR RH,DOOR GLASS HANDLE REGULATOR RH,8,EACH,somanna_12,30
10,DOOR GLASS HANDLE REGULATOR LH,DOOR GLASS HANDLE REGULATOR LH,8,EACH,somanna_12,30
11,BATTERY LUGS NEGATIVE,BATTERY LUGS NEGATIVE,10,EACH,somanna_12,30
12,BULB DOUBLE FILAMENT 12V,BULB DOUBLE FILAMENT 12V,20,EACH,somanna_12,30
