Item Number,Item Title,Item Description,A/U,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Inj Nyzom 250 mg,Intas,01 No,50,Nos,DCVET2024,15
2,Inj DHPPi L 1ml,MSD,01 No,40,Nos,DCVET2024,15
3,Inj ARV 10 ml,Indian immnological,10 ml,8,Nos,DCVET2024,15
4,Inj Prednisolone 10 ml,MSD,10 ml,20,Nos,DCVET2024,15
5,Tab Bravecto 1000 mg,MSD,01 No,12,Nos,DCVET2024,15
6,Syp Zipvit Pet 200 ml,Intas,01 No,7,Nos,DCVET2024,15
7,Syp Osteopet 200 ml,Virbac,01 No,7,Nos,DCVET2024,15
8,Syp Gryptol-N 60 ml,Intas,01 No,7,Nos,DCVET2024,15
9,Syp Liv-52 200 ml,Himalya,01 No,7,Nos,DCVET2024,15
10,Pow Magnisium Sulphate 400 gm,Any branded company,01 No,25,Nos,DCVET2024,15
11,Pow NAHCO3,Any branded company,01 No,25,Nos,DCVET2024,15
12,Pow Himalya Batisha 100 gm,Natural Remedies,01 No,50,Nos,DCVET2024,15
13,Latex Disposable hand gloves,Any branded company,0 1 Pkt,5,Pkt,DCVET2024,15
14,Neck Collar with side leash,Best quality product,01 set,6,Set,DCVET2024,15
15,Feeding bowl Steel,Best quality product,01 No,6,Nos,DCVET2024,15
16,Drools Puppy Pedigree 1.2 kg,Drools,1.2 kg,50,Nos,DCVET2024,15
17,Camel Hair Cutting Machine 1600 watt,Any branded/ best quality product,01 No,2,Nos,DCVET2024,15
18,Wool Sheer blade 13 4 teeth,Any branded/ best quality product,01 No,4,Nos,DCVET2024,15
