Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Plywood 8ft intu 4 ft intu  6 mm,Plywood 8ft intu 4 ft intu  6 mm,20,Nos,bsogekarwar1,45
2,Plywood 8ft intu 4 ft intu  12 mm,Plywood 8ft intu 4 ft intu  12 mm,10,Nos,bsogekarwar1,45
3,Plywood 8ft intu 4 ft intu  9 mm,Plywood 8ft intu 4 ft intu  9 mm,5,Nos,bsogekarwar1,45
4,Plywood 7 ft intu 3 ft intu 12 mm,Plywood 7 ft intu 3 ft intu 12 mm,20,Nos,bsogekarwar1,45
5,Plywood 8ft intu 4 ft intu  18 mm,Plywood 8ft intu 4 ft intu  18 mm,10,Nos,gepmandovi,45
6,Plywood 8ft intu 4 ft intu  12 mm,Plywood 8ft intu 4 ft intu  12 mm,10,Nos,gepmandovi,45
7,Prelaminated Particle Board 8 ft intu 4 ft intu 18 mm,Prelaminated Particle Board 8 ft intu 4 ft intu 18 mm,15,Nos,AGENWEM1,45
8,Prelaminated Particle Board 8 ft intu 4 ft intu 18 mm,Prelaminated Particle Board 8 ft intu 4 ft intu 18 mm,5,Nos,gepmandovi,45
9,Prelaminated Particle Board 8 ft intu 4 ft intu 18 mm,Prelaminated Particle Board 8 ft intu 4 ft intu 18 mm,20,Nos,bsogekarwar1,45
10,Preforated Particle Board 600 mm intu 600 mm intu 12 mm,Preforated Particle Board 600 mm intu 600 mm intu 12 mm,168,Nos,AGENWEM1,45
11,Cushion Sofa U Foam 530 into 560 mm 40 Densit intu 100 mm,Cushion Sofa U Foam 530 into 560 mm 40 Densit intu 100 mm,100,Nos,bsogekarwar1,45
12,Cushion Sofa U Foam 40 Densit 540 into 570 mm intu 100 mm,Cushion Sofa U Foam 40 Densit 540 into 570 mm intu 100 mm,100,Nos,bsogekarwar1,45
13,Cushion Sofa U Foam 100 mm  thick 40 Densit size 21 inch into 22 inch,Cushion Sofa U Foam 100 mm  thick 40 Densit size 21 inch into 22 inch,270,Nos,bsogmk,45
14,Cushion Sofa U Foam 32 Densit 36 inch intu 72 inch intu 2 inch thick ,Cushion Sofa U Foam 32 Densit 36 inch intu 72 inch intu 2 inch thick ,25,Nos,bsogekarwar1,45
15,Cushion Sofa U Foam 32 Densit 36 inch intu 72 inch intu 3 inch thick ,Cushion Sofa U Foam 32 Densit 36 inch intu 72 inch intu 3 inch thick ,25,Nos,bsogekarwar1,45
16,Cushion Sofa U Foam 40 Densit 36 inch intu 72 inch intu 4 inch thick  ,Cushion Sofa U Foam 40 Densit 36 inch intu 72 inch intu 4 inch thick  ,25,Nos,bsogekarwar1,45
17,Cushion Sofa U Foam 32 Densit 36 inch intu 72 inch intu 1 inch thick ,Cushion Sofa U Foam 32 Densit 36 inch intu 72 inch intu 1 inch thick ,25,Nos,bsogekarwar1,45
18,Cover for Cushion of Sofa stiched alongwith zip facility 21 inch 22 inch,Cover for Cushion of Sofa stiched alongwith zip facility 21 inch 22 inch,273,Nos,bsogmk,45
19,False ceiling Board 600mm intu 600 mm intu 4 mm thick,False ceiling Board 600mm intu 600 mm intu 4 mm thick,713,Nos,AGENWEM1,45
20,PVC Seat for chair Varanda,PVC Seat for chair Varanda,107,Nos,bsogmk,45
21,PVC Back for Chair Varanda,PVC Back for Chair Varanda,107,Nos,bsogmk,45
22,3 Layer PVC Water Tank 1000 Ltr,3 Layer PVC Water Tank 1000 Ltr,10,Nos,gepmandovi,45
23,3 Layer PVC Water Tank 500 Ltr,3 Layer PVC Water Tank 500 Ltr,15,Nos,gepmandovi,45
24,3 Layer PVC Water Tank 500 Ltr,3 Layer PVC Water Tank 500 Ltr,4,Nos,bsogekarwar1,45
25,Search Light 200 Watt Motorised variable speed operating 230V 50 Hz AC Beam distence 600 M Rotation 350 Degree in Horizentaly 90 Degree in vertically control by remote,Search Light 200 Watt Motorised variable speed operating 230V 50 Hz AC Beam distence 600 M Rotation 350 Degree in Horizentaly 90 Degree in vertically control by remote,20,Nos,AGENWEM1,45
26,WPC board white 8 ft  intu 4 ft intu 18 mm,WPC board white 8 ft  intu 4 ft intu 18 mm,25,Nos,bsogekarwar1,45
27,WPC board white 8 ft  intu 4 ft intu 12 mm,WPC board white 8 ft  intu 4 ft intu 12 mm,20,Nos,bsogekarwar1,45
28,WPC board white 8 ft  intu 4 ft intu 06 mm,WPC board white 8 ft  intu 4 ft intu 06 mm,20,Nos,bsogekarwar1,45
29,PVC Board 18 mm Bothside laminated,PVC Board 18 mm Bothside laminated,85,Sqm,bsogmk,45
30,PVC Board 12 mm Bothside laminated,PVC Board 12 mm Bothside laminated,85,Sqm,bsogmk,45
31,PVC Sheet 4 mm one side laminated,PVC Sheet 4 mm one side laminated,86,Sqm,bsogmk,45
32,PVC Plain sheet 4 mm thick,PVC Plain sheet 4 mm thick,86,Sqm,bsogmk,45
