Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Lignocaine HCl Jelly 2percent Tube of 30 gm with sterile tube ,Lignocaine HCl Jelly 2percent Tube of 30 gm with sterile tube ,204,Tube,5AFHECHS@MEDSTORE,20
2,Tab Paracetamol 650 mg,Tab Paracetamol 650 mg,10740,No,5AFHECHS@MEDSTORE,20
3,"Aceclofenac 100 mg, Paracetamol 500 mg Tab","Aceclofenac 100 mg, Paracetamol 500 mg Tab",600,No,5AFHECHS@MEDSTORE,20
4,Thiocolchiside 4 mg Tab,Thiocolchiside 4 mg Tab,2130,No,5AFHECHS@MEDSTORE,20
5,Mefenemic Acid 500 mg Tab,Mefenemic Acid 500 mg Tab,1278,No,5AFHECHS@MEDSTORE,20
6,Common Cold Tab ,Common Cold Tab ,7770,No,5AFHECHS@MEDSTORE,20
7,"Diclofenac Sodium 50 mg, enteric coated Tab","Diclofenac Sodium 50 mg, enteric coated Tab",2610,No,5AFHECHS@MEDSTORE,20
8,"Diclofenac 25 mgml IP, 3 ml Inj","Diclofenac 25 mgml IP, 3 ml Inj",1662,Amp,5AFHECHS@MEDSTORE,20
9,Ibuprofen 200 mg Tab,Ibuprofen 200 mg Tab,1140,No,5AFHECHS@MEDSTORE,20
10,Ibuprofen 400 mg Tab,Ibuprofen 400 mg Tab,1470,No,5AFHECHS@MEDSTORE,20
11,Diclofenac diethylamine 2.32percnt Topical Solution30 ml bot,Diclofenac diethylamine 2.32percnt Topical Solution30 ml bot,558,Bott,5AFHECHS@MEDSTORE,20
12,Naproxen 250mg Tab,Naproxen 250mg Tab,2898,No,5AFHECHS@MEDSTORE,20
13,Paracetamol 500mg Tab,Paracetamol 500mg Tab,14820,No,5AFHECHS@MEDSTORE,20
14,"Paracetamol 150 mgml, 2 ml IV, Inj","Paracetamol 150 mgml, 2 ml IV, Inj",102,Amp,5AFHECHS@MEDSTORE,20
15,Paracetamol Syp 125 mg5 ml bottle of 60 ml,Paracetamol Syp 125 mg5 ml bottle of 60 ml,204,Bott,5AFHECHS@MEDSTORE,20
16,Paracetamol 325mg and Ibuprofen 400mg Tab,Paracetamol 325mg and Ibuprofen 400mg Tab,14460,No,5AFHECHS@MEDSTORE,20
