Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Highlighter,As per attached documents,50,Pkts,Oicmr@6440,20
2,Whitener,As per attached documents,30,Pkts,Oicmr@6440,20
3,Stapler Pin Small,As per attached documents,100,Pkts,Oicmr@6440,20
4,Stapler Pin Big,As per attached documents,30,Pkts,Oicmr@6440,20
5,Stamp Pad,As per attached documents,30,Nos,Oicmr@6440,20
6,Stamp Pad Ink,As per attached documents,30,Nos,Oicmr@6440,20
7,U Clip,As per attached documents,200,Box,Oicmr@6440,20
8,White board cleaning duster,As per attached documents,30,Nos,Oicmr@6440,20
9,Paper Cutter,As per attached documents,50,Nos,Oicmr@6440,20
10,Paper Coppier A4,As per attached documents,2000,Ream,Oicmr@6440,20
11,Paper Coppier FS Legal,As per attached documents,500,Ream,Oicmr@6440,20
12,Paper Coppier A3,As per attached documents,10,Ream,Oicmr@6440,20
13,Paper Pin,As per attached documents,100,Box,Oicmr@6440,20
14,Pencil,As per attached documents,200,Box,Oicmr@6440,20
15,Sharpener,As per attached documents,50,Box,Oicmr@6440,20
16,Eraser,As per attached documents,50,Box,Oicmr@6440,20
17,Glue Stick,As per attached documents,200,Nos,Oicmr@6440,20
18,Fevicol Bottle,As per attached documents,50,Nos,Oicmr@6440,20
19,Talk Sheet,As per attached documents,10,Roll,Oicmr@6440,20
20,Notice Board Pin,As per attached documents,50,Box,Oicmr@6440,20
21,Acrilic Exam Pad,As per attached documents,50,Nos,Oicmr@6440,20
22,Paper Gum,As per attached documents,100,Nos,Oicmr@6440,20
23,File Tag Long,As per attached documents,50,Bundle,Oicmr@6440,20
24,File Tag Small,As per attached documents,100,Bundle,Oicmr@6440,20
25,Sticky Note Pad or colour flags,As per attached documents,1000,Nos,Oicmr@6440,20
26,Resticky note pad,As per attached documents,500,Nos,Oicmr@6440,20
27,Drasing Sheet,As per attached documents,10,Pkts,Oicmr@6440,20
28,Binder clip small,As per attached documents,250,Box,Oicmr@6440,20
29,Binder clip medium,As per attached documents,150,Box,Oicmr@6440,20
30,Binder clip Big,As per attached documents,100,Box,Oicmr@6440,20
31,Paper weight,As per attached documents,40,Nos,Oicmr@6440,20
32,Dak folder,As per attached documents,25,Nos,Oicmr@6440,20
33,Tape half inch Blue,As per attached documents,400,Nos,Oicmr@6440,20
34,Tape half inch Green,As per attached documents,400,Nos,Oicmr@6440,20
35,Tape half inch Red,As per attached documents,400,Nos,Oicmr@6440,20
36,Tape half inch brown,As per attached documents,400,Nos,Oicmr@6440,20
37,Tape one inch brown,As per attached documents,400,Nos,Oicmr@6440,20
38,Tape two inch brown,As per attached documents,400,Nos,Oicmr@6440,20
39,Tape half inch transparent,As per attached documents,500,Nos,Oicmr@6440,20
40,Tape one inch transparent,As per attached documents,500,Nos,Oicmr@6440,20
41,Tape two inch transparent,As per attached documents,500,Nos,Oicmr@6440,20
42,Reynolds Pen Blue,As per attached documents,500,Box,Oicmr@6440,20
43,Reynolds Pen Black,As per attached documents,50,Box,Oicmr@6440,20
44,Reynolds Pen Red,As per attached documents,30,Box,Oicmr@6440,20
45,Reynolds zetter classic Pen Blue,As per attached documents,150,Nos,Oicmr@6440,20
46,Sketch Pen Blue,As per attached documents,50,Nos,Oicmr@6440,20
