Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,PVC FRLS copper cable insulated comma multi strands 1 point 0 Sq mm Make  Anchor comma Havells comma Finolex  comma Polycab,PVC FRLS copper cable insulated comma multi strands 1 point 0 Sq mm Make  Anchor comma Havells comma Finolex  comma Polycab,810,RM ,21ER_CONSIGNEE2,45
2,PVC FRLS copper cable insulated comma multi strands 1 point 5 Sq mm Make  Anchor  comma Havells comma Finolex comma Polycab,PVC FRLS copper cable insulated comma multi strands 1 point 5 Sq mm Make  Anchor  comma Havells comma Finolex comma Polycab,1350,Rm,21ER_CONSIGNEE2,45
3,PVC Armoured cable 16  sqmm 2 core Make   Havells comma Finolex comma Polycab,PVC Armoured cable 16  sqmm 2 core Make   Havells comma Finolex comma Polycab,300,Rm,21ER_CONSIGNEE2,45
4,PVC FRLS copper cable insulated comma multi strands 2 point 5 Sq mm Make  Anchor  comma Havells comma Finolex comma Polycab,PVC FRLS copper cable insulated comma multi strands 2 point 5 Sq mm Make  Anchor  comma Havells comma Finolex comma Polycab,1220,Rm,21ER_CONSIGNEE2,45
5,LED Bulb 15 watt Make Philips comma Anchor comma Bajaj,LED Bulb 15 watt Make Philips comma Anchor comma Bajaj,50,Nos,21ER_CONSIGNEE2,45
6,PVC capping oblcasing 25 mm with accessories Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked ,PVC capping oblcasing 25 mm with accessories Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked ,100,Nos,21ER_CONSIGNEE2,45
7,PVC Insulation tape 15mmx10 Mtr make Steel grip  comma Presto plast comma faxwel,PVC Insulation tape 15mmx10 Mtr make Steel grip  comma Presto plast comma faxwel,40,Roll,21ER_CONSIGNEE2,45
8,Electronic type fan regulator 1M fan Make Bajaj comma Crompton comma Philips comma Anchor,Electronic type fan regulator 1M fan Make Bajaj comma Crompton comma Philips comma Anchor,13,Nos,21ER_CONSIGNEE2,45
9,Switch  5 Amp modular type Make  Bajaj  comma Philips comma Siemens  comma Anchor comma Equivalent ISI Marked ,Switch  5 Amp modular type Make  Bajaj  comma Philips comma Siemens  comma Anchor comma Equivalent ISI Marked ,106,Nos,21ER_CONSIGNEE2,45
10,Socket 5 Amp modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked,Socket 5 Amp modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked,33,Nos,21ER_CONSIGNEE2,45
11,PVC Gang Box with plate  3 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked  as approved by consignee,PVC Gang Box with plate  3 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked  as approved by consignee,30,Nos,21ER_CONSIGNEE2,45
12,PVC Gang Box with plate  4 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked  as approved by consignee,PVC Gang Box with plate  4 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked  as approved by consignee,20,Nos,21ER_CONSIGNEE2,45
13,PVC Gang Box with plate  5 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked as approved by consignee,PVC Gang Box with plate  5 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked as approved by consignee,30,Nos,21ER_CONSIGNEE2,45
14,PVC Gang Box with plate  8 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked  as approved by consignee,PVC Gang Box with plate  8 Way modular type Make  Bajaj comma Philips comma Siemens comma Anchor comma Equivalent ISI Marked  as approved by consignee,24,Nos,21ER_CONSIGNEE2,45
15,Earthing complete set as specification at para 8 of part II of specifiacation  All required items to be provided as per the specification,Earthing complete set as specification at para 8 of part II of specifiacation  All required items to be provided as per the specification,2,Set,21ER_CONSIGNEE2,45
16,Lighthering coducter complete set with all accessories,Lighthering coducter complete set with all accessories,2,Set,21ER_CONSIGNEE2,45
17,PVC Armoured cable 16  sqmm 4 core Make   Havells comma Finolex comma Polycab,PVC Armoured cable 16  sqmm 4 core Make   Havells comma Finolex comma Polycab,200,Rm,21ER_CONSIGNEE2,45
18,MCB Box 8 way Make L and T comma Usha comma CG,MCB Box 8 way Make L and T comma Usha comma CG,4,Nos,21ER_CONSIGNEE2,45
19,Recess Mounting Light 2 x 2 Make Bajaj comma Crompton comma  Philips comma CG,Recess Mounting Light 2 x 2 Make Bajaj comma Crompton comma  Philips comma CG,10,Nos,21ER_CONSIGNEE2,45
20,Ceiling fan 1200 mm sweep  Make Bajaj comma Usha comma CG comma Khaitan,Ceiling fan 1200 mm sweep  Make Bajaj comma Usha comma CG comma Khaitan,30,Nos,21ER_CONSIGNEE2,45
21,MS hook 12mm rod for fan,MS hook 12mm rod for fan,15,Nos,21ER_CONSIGNEE2,45
22,LED Tube light 20 watt 4ft complete Make Bajaj comma Usha,LED Tube light 20 watt 4ft complete Make Bajaj comma Usha,68,Nos,21ER_CONSIGNEE2,45
23,LED Bulb 10 watt  Make Philips comma Anchor comma Bajaj,LED Bulb 10 watt  Make Philips comma Anchor comma Bajaj,125,Nos,21ER_CONSIGNEE2,45
24,Exhaust fan 300 mm Make Philips comma Anchor comma Bajaj,Exhaust fan 300 mm Make Philips comma Anchor comma Bajaj,12,Nos,21ER_CONSIGNEE2,45
25,MCB 63 Amp Make Philips comma Anchor comma Bajaj,MCB 63 Amp Make Philips comma Anchor comma Bajaj,21,Nos,21ER_CONSIGNEE2,45
