Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Table Executive Officers with Side Unit 6 feet x4 feet,Table Executive Officers with Side Unit 6 feet x4 feet,6,Each,gebkpaf,150
2,Table Executive Officers with Side Unit 4 feet x 2 feet,Table Executive Officers with Side Unit 4 feet x 2 feet,6,Each,gebkpaf,150
3,Dining Table with Six Chair Six Seater,Dining Table with Six Chair Six Seater,1,Each ,gebkpaf,150
4,Dining Table with four chair Four Seater,Dining Table with four chair Four Seater,2,Each,gebkpaf,150
5,Work Station 3 Seater,Work Station 3 Seater,2,Each,gebkpaf,150
6,Chair Revolving Executive high Back,Chair Revolving Executive high Back,8,Each,gebkpaf,150
7,Chair Visitor Executive with arm rest,Chair Visitor Executive with arm rest,5,Each,gebkpaf,150
8,Visitors Chair with arm rest,Visitors Chair with arm rest,20,Each,gebkpaf,150
9,Cushion chairs for Briefing Room,Cushion chairs for Briefing Room,25,Each,gebkpaf,150
10,Revolving Chair,Revolving Chair,25,Each,gebkpaf,150
11,Sofa Set 3 plus 1 plus 1,Sofa Set 3 plus 1 plus 1,3,Each,gebkpaf,150
12,Sofa Single Seater,Sofa Single Seater,4,Each,gebkpaf,150
13,Sofa Cum Bed,Sofa Cum Bed,1,Each,gebkpaf,150
14,Single Bed,Single Bed,2,Each,gebkpaf,150
15,Table Bed Side,Table Bed Side,6,Each,gebkpaf,150
16,Recliner,Recliner,1,Each,gebkpaf,150
17,Bunk Bed,Bunk Bed,4,Each,gebkpaf,150
18,Table Centre Glass Top,Table Centre Glass Top,5,Each,gebkpaf,150
19,Steel Cabinet 4 Door,Steel Cabinet 4 Door,6,Each,gebkpaf,150
20,Almirah Steel Large,Almirah Steel Large,3,Each,gebkpaf,150
21,Almirah Steel Small,Almirah Steel Small,5,Each,gebkpaf,150
22,Momento Showcase with Glass Door,Momento Showcase with Glass Door,2,Each,gebkpaf,150
23,Book Shelf with Glass Door and Lock,Book Shelf with Glass Door and Lock,3,Each,gebkpaf,150
24,Locker For Mobile Phone,Locker For Mobile Phone,1,Each,gebkpaf,150
25,Six Door Personal Locker,Six Door Personal Locker,3,Each,gebkpaf,150
26,Single Wardrobe Style Locker For Officers,Single Wardrobe Style Locker For Officers,3,Each,gebkpaf,150
27,Double Door Wardrobe for Airmen,Double Door Wardrobe for Airmen,2,Each,gebkpaf,150
28,SS Table with Shelf,SS Table with Shelf,1,Each,gebkpaf,150
29,SS Table with Sink,SS Table with Sink,2,Each,gebkpaf,150
30,Mobile SS Handwash Station,Mobile SS Handwash Station,1,Each,gebkpaf,150
31,Shoe Rack,Shoe Rack,2,Each,gebkpaf,150
32,Magzine Stand,Magzine Stand,1,Each,gebkpaf,150
33,Iron Bench,Iron Bench,1,Each,gebkpaf,150
