Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,SAX 300 DX SPEAKER as per specification,SAX 300 DX SPEAKER as per specification,2,Nos,teomeg_gem,15
2,SRX 220 SPEAKER as per specification,SRX 220 SPEAKER as per specification,2,Nos,teomeg_gem,15
3,STUDIOMASTER ACTIVE SPEAKER CLIO -158 as per specification,STUDIOMASTER ACTIVE SPEAKER CLIO -158 as per specification,2,Nos,teomeg_gem,15
4,STUDIOMASTER MVC STABILIZER 5 KVA as per specification,STUDIOMASTER MVC STABILIZER 5 KVA as per specification,2,Nos,teomeg_gem,15
5,TRIPOD STANDS FOR SPEAKER as per specification,TRIPOD STANDS FOR SPEAKER as per specification,2,Nos,teomeg_gem,15
6,SPEAKER CABLE 1.5 Sqmm as per specification,SPEAKER CABLE 1.5 Sqmm as per specification,200,Mtrs,teomeg_gem,15
7,STUDIO MASTER XR 80HH MIC as per specification,STUDIO MASTER XR 80HH MIC as per specification,2,Set,teomeg_gem,15
8,CORD MIC AHUJA as per specification,CORD MIC AHUJA as per specification,5,Nos,teomeg_gem,15
9,STUDIO MASTER XR 80CC MIC as per specification,STUDIO MASTER XR 80CC MIC as per specification,2,Nos,teomeg_gem,15
10,IN BUILT SPEAKER CABLE 3 CORE WITH XLR SOCKET 30 MTR LONG as per specification,IN BUILT SPEAKER CABLE 3 CORE WITH XLR SOCKET 30 MTR LONG as per specification,5,Nos,teomeg_gem,15
11,3 CORE POLY CAB INDUSTRIAL FLEXIBLE CABLE 1.5 Sqmm as per specification,3 CORE POLY CAB INDUSTRIAL FLEXIBLE CABLE 1.5 Sqmm as per specification,100,Mtrs,teomeg_gem,15
12,XLR MALE and FEMALE CONNECTOR as per specification,XLR MALE and FEMALE CONNECTOR as per specification,20,Nos,teomeg_gem,15
13,TELE PHONE BEETAL M 59 as per specification,TELE PHONE BEETAL M 59 as per specification,10,Nos,teomeg_gem,15
14,MOBILE AUX 3.5 MM 1 .5MTR JACK TO C TYPE as per specification,MOBILE AUX 3.5 MM 1 .5MTR JACK TO C TYPE as per specification,3,Nos,teomeg_gem,15
15,MOBILE AUX CABLE 3.5MM 30 MTR LONG as per specification,MOBILE AUX CABLE 3.5MM 30 MTR LONG as per specification,1,Nos,teomeg_gem,15
16,ELECTRONIC LECTERN MODEL NO- ASL-3000R as per specification,ELECTRONIC LECTERN MODEL NO- ASL-3000R as per specification,2,Nos,teomeg_gem,15
17,PASSIVE SPEAKER MODEL NO- ASX-312 BT as per specification,PASSIVE SPEAKER MODEL NO- ASX-312 BT as per specification,8,Nos,teomeg_gem,15
18,AMPLIFIER WITH BM MODEL NO- SSA-250 DP as per specification,AMPLIFIER WITH BM MODEL NO- SSA-250 DP as per specification,2,Nos,teomeg_gem,15
19,HEAD GEAR MODEL NO- ABW-400 UL as per specification,HEAD GEAR MODEL NO- ABW-400 UL as per specification,2,Nos,teomeg_gem,15
20,LAPTOP CABLE as per specification,LAPTOP CABLE as per specification,1,Nos,teomeg_gem,15
21,STABILIZER 2 KVA as per specification,STABILIZER 2 KVA as per specification,3,Nos,teomeg_gem,15
22,SPEAKER CABLE 90 MTR as per specification,SPEAKER CABLE 90 MTR as per specification,2,Nos,teomeg_gem,15
