Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,PICS M 143 01 00 015  Eccentric shaft ,Eccentric shaft  PICS M 143 01 00 015  ,2,No,oc1052-fw,30
2,PICS 22 11 053  Body bearing,Body bearing  PICS 22 11 053  ,2,No,oc1052-fw,30
3,PICS 22 11 007  Swing jaw bearing,Swing jaw bearing   PICS 22 11 007  ,4,No,oc1052-fw,30
4,PICS 22 17 041  Oil Seal,Oil Seal  PICS 22 17 041  ,4,No,oc1052-fw,30
5,PICS  22 17 082 Oil Seal,Oil Seal  PICS  22 17 082 ,4,No,oc1052-fw,30
6,PICS 22 18 010  Lock Nut,Lock Nut  PICS 22 18 010  ,4,No,oc1052-fw,30
7,PICS 22 19 010  Lock Washer,Lock Washer  PICS 22 19 010  ,4,No,oc1052-fw,30
8,PICS 22 34 048  Hexa Bolt,Hexa Bolt   PICS 22 34 048  ,24,No,oc1052-fw,30
9,PICS 22 41 006  Spring Washer,Spring Washer  PICS 22 41 006  ,24,No,oc1052-fw,30
10,PICS C 143 01 00 007  Top liner plate LH,Top liner plate LH  PICS C 143 01 00 007  ,1,No,oc1052-fw,30
11,SS90910   3 PH AC Contactor 70A 415V 50HZ  ML 04  L and T,3 PH AC Contactor 70A 415V 50HZ  ML 04  L and T  SS90910   ,1,No,oc1052-fw,30
12,PICS CM 143 01 00 013  Toggel seat block,Toggel seat block  PICS CM 143 01 00 013  ,1,No,oc1052-fw,30
13,PICS 22 20 010  V belt C 210,V belt C 210   PICS 22 20 010  ,5,No,oc1052-fw,30
14,PICS 22 20 008 V belt C 72,V belt C 72   PICS 22 20 008 ,2,No,oc1052-fw,30
15,PICS CM 143 01 00 009 Body bearing cover  Inside, Body bearing cover  Inside  PICS CM 143 01 00 009,2,No,oc1052-fw,30
16,PICS CM 143 01 02 003 Swing jaw bearing cover  Plate,Swing jaw bearing cover  Plate   PICS CM 143 01 02 003 ,2,No,oc1052-fw,30
