Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,SV30010 Penicillin Streptomycin 100ml ,SV30010 Penicillin Streptomycin 100ml ,1,pieces,tanzilamukhtar,15
2,M0202S T4 DNA Ligase  20000 units ,M0202S T4 DNA Ligase  20000 units ,2,pieces,tanzilamukhtar,15
3,27104 QIAprep Spin Miniprep Kit 50,27104 QIAprep Spin Miniprep Kit 50,1,pieces,tanzilamukhtar,15
4,28704 QIAquick Gel Extraction Kit 50,28704 QIAquick Gel Extraction Kit 50,1,pieces,tanzilamukhtar,15
5,12891S SIX1 D4A8K Rabbit mAb 100 ul ,12891S SIX1 D4A8K Rabbit mAb 100 ul ,1,pieces,tanzilamukhtar,15
6,M0303S DNase I Rnase free 1000 units ,M0303S DNase I Rnase free 1000 units ,1,pieces,tanzilamukhtar,15
7,Fetal Bovine Serum 500ML,Fetal Bovine Serum 500ML,2,pieces,tanzilamukhtar,15
8,14868S Sec61A1 D7Q6V Rabbit mAb 100 ul ,14868S Sec61A1 D7Q6V Rabbit mAb 100 ul ,1,pieces,tanzilamukhtar,15
9,RevertAid First Strand cDNA Synthesis Kit  100 x 20 uL rxns ,RevertAid First Strand cDNA Synthesis Kit  100 x 20 uL rxns ,2,pieces,tanzilamukhtar,15
10,SH30042.02 LM TRYPSIN  500ML ,SH30042.02 LM TRYPSIN  500ML ,1,pieces,tanzilamukhtar,15
11,R0101S EcoRI  10000 units ,R0101S EcoRI  10000 units ,1,pieces,tanzilamukhtar,15
12,R3142S KpnI-HF  4000 units  ,R3142S KpnI-HF  4000 units  ,1,pieces,tanzilamukhtar,15
13,"PG-40005 PureGene Quick Dissolve Agarose, 500G  ","PG-40005 PureGene Quick Dissolve Agarose, 500G  ",1,pieces,tanzilamukhtar,15
14,GTXM-4102E-SS Cryogenic Vial  Sterile PP 2.0 mL  Self standing External Threaded 500 PER CS,GTXM-4102E-SS Cryogenic Vial  Sterile PP 2.0 mL  Self standing External Threaded 500 PER CS,1,pieces,tanzilamukhtar,15
15,8025S SQSTM1 p62 D5E2 Rabbit mAb 100 ul ,8025S SQSTM1 p62 D5E2 Rabbit mAb 100 ul ,1,pieces,tanzilamukhtar,15
16,12143 QIAGEN Plasmid Midi Kit 25,12143 QIAGEN Plasmid Midi Kit 25,2,pieces,tanzilamukhtar,15
17,M0201S T4 Polynucleotide Kinase  500 units ,M0201S T4 Polynucleotide Kinase  500 units ,1,pieces,tanzilamukhtar,15
18,11815S ATF 4 D4B8 Rabbit mAb 100 ul ,11815S ATF 4 D4B8 Rabbit mAb 100 ul ,1,pieces,tanzilamukhtar,15
