Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Portland Pozzolana Cement 43 Grade,"Portland Pozzolana Cement, fresh and lump free, approved make UltraTech, ACC, Ambuja, JK Cement or equivalent",20,Bags,DC16BN@CONSTRUCTION,15
2,Stone aggregate 20mm nominal size,"Machine crushed hard stone aggregate 20 mm nominal size and clean, dust free, angular type",2,Cum,DC16BN@CONSTRUCTION,15
3,Coarse Sand Zone-III,"Clean river sand Zone-III grading, free from organic impurities",3,Cum,DC16BN@CONSTRUCTION,15
4,Fine sand,Fine river sand suitable for plaster and finishing works,2,cum,DC16BN@CONSTRUCTION,15
5,Ceramic glazed floor tiles of size 300x300 mm,"First quality ceramic glazed floor tiles 300x300 mm, minimum 8 mm thick, anti-skid finish, approved make Kajaria / Somany / Johnson or equivalent",250,sqft,DC16BN@CONSTRUCTION,15
6,Wall tiles of size 300x300,"Glazed wall tiles 300x300 mm, minimum 6 mm thick, glossy/matt finish, approved make Kajaria / Somany / Johnson or equivalent",200,sqft,DC16BN@CONSTRUCTION,15
7,vitrified tiles 600x600 mm,"Double charged / nano polished vitrified tiles 600x600 mm, minimum 8-10 mm thick",200,sqft,DC16BN@CONSTRUCTION,15
8,unplasticised Rigid PVC rain water pipes 110 mm diameter,"unplasticised Rigid PVC rain water pipes 110 mm diameter, approved make Supreme / Finolex / Astral or equivalent",200,Mtr,DC16BN@CONSTRUCTION,15
9,Single tee with door 110x110x110 mm,"UPVC single tee with door, 110x110x110 mm",25,Nos,DC16BN@CONSTRUCTION,15
10,PVC Bend 87.5 degree 110 mm bend,"PVC bend 87.5 degree, 110 mm dia, selfit, socketed type ",25,Nos,DC16BN@CONSTRUCTION,15
11,Water closet European type WC pan,"Water closet European type WC pan make Cera, Prayag,hindware ,Shakti or equivalent ",2,Nos,DC16BN@CONSTRUCTION,15
12,Indian Style Squatting Pan with Long Pattern,"Indian Style Squatting Pan with Long Pattern ( Cera, Prayag,hindware ,Shakti  or equivalent )",2,Nos,DC16BN@CONSTRUCTION,15
13,Flushing cistern 10 litre capacity - White,Flushing cistern with manually controlled device (handle lever)all fittings and fixtures complete. 10 litre capacity - White,4,Nos,DC16BN@CONSTRUCTION,15
14,water closet European type W.C. pan only seat cover,"Heavy duty solid plastic duroplast seat cover with  hinges suitable for EWC, approved make Hindware, Cera, Parryware",8,Nos,DC16BN@CONSTRUCTION,15
15,Spendil half turn,CP brass spindle half turn type for stop cock ISI marked,50,Nos,DC16BN@CONSTRUCTION,15
16,CP Brass  Telephonic wall mixer ,"CP brass wall mixer with telephonic shower arrangement, chromium plated ( Make hindware, periware, cera or equavilant )",8,Nos,DC16BN@CONSTRUCTION,15
17,CP Pillar cock,"15 mm dia CP brass pillar cock  ISI marked ( Make hindware, periware, cera or equavilant )",5,Nos,DC16BN@CONSTRUCTION,15
18,Flexible coil shaped PVC waste pipe for sink and wash basin 32mm dia ,Flexible coil shaped PVC waste pipe for sink and wash basin 32mm dia ,30,Nos,DC16BN@CONSTRUCTION,15
19,600x450 mm beveled edge mirror of superior glass complete with 6 mm thick,600x450 mm beveled edge mirror of superior glass complete with 6 mm thick,8,Nos,DC16BN@CONSTRUCTION,15
20,SS Bottle Trap for Wash basin and sink,Stainless steel bottle trap 32 mm dia for Wash basin and sink,8,Nos,DC16BN@CONSTRUCTION,15
