Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Haima Cell R380 Diulant Pack Of 20ltr Spectrum,Niv,8,No,Buyer@372FH,15
2,Haima Cell R380 Cleaner Spectrum,Niv,6,No,Buyer@372FH,15
3,Haima Cell R380 Lyse Spectrum,Niv,6,No,Buyer@372FH,15
4,Haima Cell R380 Ez Clean Spectrum,Niv,6,No,Buyer@372FH,15
5,Lyse H360 Erba,Niv,4,Bott,Buyer@372FH,15
6,Cell Pack H360 Erba,Niv,6,Ltr,Buyer@372FH,15
7,Cell Clean H360 Erba,Niv,6,Bott,Buyer@372FH,15
8,D Dimer Rapid Test,Niv,80,Test,Buyer@372FH,15
9,Hiv I And II Rapid Kit Tridots,Niv,20,Kit,Buyer@372FH,15
10,Hbsag Rapid Kit Tridots,Niv,20,Kit,Buyer@372FH,15
11,Hcv Rapid Kit Tridots,Niv,20,Kit,Buyer@372FH,15
12,Hbeag Rapid Kit Sd,Niv,20,Kit,Buyer@372FH,15
13,Vdrl Rapid Kit,Niv,15,Kit,Buyer@372FH,15
14,Laser Films 10x08 Compatible With Trimax Txc Laser Imaging Film,Niv,4,Pkt,Buyer@372FH,15
