Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,LV7 KRZ 236 1017010 A FINE OIL FILTER,LV7 KRZ 236 1017010 A FINE OIL FILTER,2,pieces,ocirw,15
2,LV7 KRZ 238 1104370 B DRAIN PIPE,LV7 KRZ 238 1104370 B DRAIN PIPE,2,pieces,ocirw,15
3,LV7 KRZ 204A 1105510 B PRIMARY FUEL FILTER ,LV7 KRZ 204A 1105510 B PRIMARY FUEL FILTER ,1,pieces,ocirw,15
4,LV7 KRZ 236 1109080 FILTER ELEMENT,LV7 KRZ 236 1109080 FILTER ELEMENT,1,pieces,ocirw,15
5,LV7 KRZ 236 1306084 HOSE,LV7 KRZ 236 1306084 HOSE,3,pieces,ocirw,15
6,LV7 KRZ 238 1601130 B CLUTCH DISC DRIVE FRONT,LV7 KRZ 238 1601130 B CLUTCH DISC DRIVE FRONT,1,pieces,ocirw,15
7,LV7 KRZ 238 1601131 DRIVEN DISC,LV7 KRZ 238 1601131 DRIVEN DISC,1,pieces,ocirw,15
8,LV7 KRZ 236U 1701203 GASKET,LV7 KRZ 236U 1701203 GASKET,1,pieces,ocirw,15
9,LV7 KRZ 236 1702122 GASKET,LV7 KRZ 236 1702122 GASKET,1,pieces,ocirw,15
10,LV7 KRZ 256 1302041 UPPER PAD SEAT SOCKET UPPER PAD,LV7 KRZ 256 1302041 UPPER PAD SEAT SOCKET UPPER PAD,1,pieces,ocirw,15
11,LV7 KRZ 210 1701210 A GLAND OIL SEAL,LV7 KRZ 210 1701210 A GLAND OIL SEAL,1,pieces,ocirw,15
12,LV7 KRZ 210 1803048 A RING OIL SEAL GLAND,LV7 KRZ 210 1803048 A RING OIL SEAL GLAND,1,pieces,ocirw,15
13,LV7 KRZ 255B 2403036 308903 RUBBER BRG P3 12218KM ,LV7 KRZ 255B 2403036 308903 RUBBER BRG P3 12218KM ,1,pieces,ocirw,15
14,LV7 KRZ 214 2902430 A2 CUSHION FRONT SPRING,LV7 KRZ 214 2902430 A2 CUSHION FRONT SPRING,1,pieces,ocirw,15
15,LV7 KRZ 500A 2905410 SHOCK ABSORBER BUSHING ,LV7 KRZ 500A 2905410 SHOCK ABSORBER BUSHING ,8,pieces,ocirw,15
16,LV7 KRZ 200 3003078A GLAND OIL SEAL BALL PIN,LV7 KRZ 200 3003078A GLAND OIL SEAL BALL PIN,2,pieces,ocirw,15
17,LV7 KRZ 255B 2303048 GASKET FLANGE AXLE SHAFT,LV7 KRZ 255B 2303048 GASKET FLANGE AXLE SHAFT,2,pieces,ocirw,15
18,LV7 KRZ 255B 3104036 SEAL,LV7 KRZ 255B 3104036 SEAL,6,pieces,ocirw,15
19,LV7 KRZ 255B 3104008 A WHEEL ATTACHING BOLTS,LV7 KRZ 255B 3104008 A WHEEL ATTACHING BOLTS,10,pieces,ocirw,15
20,LV7 KRZ 200 2403048 B GASKET RR AXLE SHAFT FLANGE,LV7 KRZ 200 2403048 B GASKET RR AXLE SHAFT FLANGE,2,pieces,ocirw,15
21,LV7 KRZ 255B 3103020 ROLLAR BEARING GPZ 2007122M,LV7 KRZ 255B 3103020 ROLLAR BEARING GPZ 2007122M,5,pieces,ocirw,15
22,LV7 KRZ 255B 3104008 A WHEEL ATTACHING BOLTS,LV7 KRZ 255B 3104008 A WHEEL ATTACHING BOLTS,24,pieces,ocirw,15
23,LV7 KRZ 255B 4224190 21 HOSE,LV7 KRZ 255B 4224190 21 HOSE,1,pieces,ocirw,15
24,LV7 KRZ 255B 3408060 03 HOSE DELIVERY ,LV7 KRZ 255B 3408060 03 HOSE DELIVERY ,1,pieces,ocirw,15
25,LV7 KRZ 256B 3609258 PIPE ASSY OIL FEED,LV7 KRZ 256B 3609258 PIPE ASSY OIL FEED,1,pieces,ocirw,15
26,LV7 KRZ 255B1 3506135 HOSE,LV7 KRZ 255B1 3506135 HOSE,2,pieces,ocirw,15
27,LV7 KRZ 238NB 1307170 COMPRESSOR DRIVE BELT,LV7 KRZ 238NB 1307170 COMPRESSOR DRIVE BELT,2,pieces,ocirw,15
28,LV7 KRZ 113512010 PRESSURE REGULATOR WITH SAFETY VALVE ASS,LV7 KRZ 113512010 PRESSURE REGULATOR WITH SAFETY VALVE ASS,1,pieces,ocirw,15
29,LV7 KRZ 100 3515050 REPAIR KIT BRAKE ASSY,LV7 KRZ 100 3515050 REPAIR KIT BRAKE ASSY,1,pieces,ocirw,15
30,LV7 KRZ 100 3515010 SINGLE SAFETY VALVE,LV7 KRZ 100 3515010 SINGLE SAFETY VALVE,1,pieces,ocirw,15
31,LV7 KRZ 214 3519136 PACKING BRK CYL PISTON ,LV7 KRZ 214 3519136 PACKING BRK CYL PISTON ,6,pieces,ocirw,15
32,LV7 KRZ 214 3519165 PACKING PISTON GUIDE GLAND,LV7 KRZ 214 3519165 PACKING PISTON GUIDE GLAND,6,pieces,ocirw,15
33,LV7 KRZ 214 3519185 B2 BOOT,LV7 KRZ 214 3519185 B2 BOOT,5,pieces,ocirw,15
34,LV7 KRZ VK318T 3704000 SWITCH,LV7 KRZ VK318T 3704000 SWITCH,1,pieces,ocirw,15
35,LV7 KRZ 255B 3711010 HEAD LAMP FG 122 N,LV7 KRZ 255B 3711010 HEAD LAMP FG 122 N,2,pieces,ocirw,15
36,LV7 KRZ FG122 3711000N HEAD LIGHT FG ASSY ,LV7 KRZ FG122 3711000N HEAD LIGHT FG ASSY ,3,pieces,ocirw,15
37,LV7 KRZ FG122 3711300 B HEAD LAMP MOUNTING MOULDING UNIT,LV7 KRZ FG122 3711300 B HEAD LAMP MOUNTING MOULDING UNIT,2,pieces,ocirw,15
38,LV7 KRZ PF101 3712000 V SIDE LAMP TYPE PF101V,LV7 KRZ PF101 3712000 V SIDE LAMP TYPE PF101V,2,pieces,ocirw,15
39,LV7 KRZ 214 3712030 A24 32 4 BULB,LV7 KRZ 214 3712030 A24 32 4 BULB,2,pieces,ocirw,15
40,LV7 KRZ 6240001127 BULB A 24 3,LV7 KRZ 6240001127 BULB A 24 3,2,pieces,ocirw,15
41,LV7 KRZ 214 3713020 A 24 1BULB,LV7 KRZ 214 3713020 A 24 1BULB,2,pieces,ocirw,15
42,LV7 KRZ PK201 3714010 A CAB DOME LAMP PK 20 G,LV7 KRZ PK201 3714010 A CAB DOME LAMP PK 20 G,1,pieces,ocirw,15
43,LV7 KRZ 6240001123 BULB A 28 21 LAMP FITMENT 28V 80K,LV7 KRZ 6240001123 BULB A 28 21 LAMP FITMENT 28V 80K,1,pieces,ocirw,15
44,LV7 KRZ PR13 3722000 A FUES BLOCK PR 13A,LV7 KRZ PR13 3722000 A FUES BLOCK PR 13A,1,pieces,ocirw,15
45,LV7 KRZ 256 3803020 TURN INDICATOR PIOLOT LAMP,LV7 KRZ 256 3803020 TURN INDICATOR PIOLOT LAMP,1,pieces,ocirw,15
46,LV7 KRZ 256 3803020 TURN INDICATOR PIOLOT LAMP,LV7 KRZ 256 3803020 TURN INDICATOR PIOLOT LAMP,1,pieces,ocirw,15
47,LV7 KRZ UB125 3806010 G4 FUEL LEVEL GAUGE,LV7 KRZ UB125 3806010 G4 FUEL LEVEL GAUGE,1,pieces,ocirw,15
48,LV7 KRZ MD103 3816010 OIL PRESSURE GAUGE MD103,LV7 KRZ MD103 3816010 OIL PRESSURE GAUGE MD103,1,pieces,ocirw,15
49,LV7 KRZ 214 5206010 GLASS WINDSHIELD,LV7 KRZ 214 5206010 GLASS WINDSHIELD,2,pieces,ocirw,15
50,LV7 KRZ 214 5206050 WEATHER STRIP WINDSHIELD,LV7 KRZ 214 5206050 WEATHER STRIP WINDSHIELD,2,pieces,ocirw,15
51,LV7 KRZ SL19V5205700 WIPER ARM,LV7 KRZ SL19V5205700 WIPER ARM,2,pieces,ocirw,15
52,LV7 KRZ SL440E 5205800 BLADE ASSY WIPER BLADE,LV7 KRZ SL440E 5205800 BLADE ASSY WIPER BLADE,2,pieces,ocirw,15
