"Item Number","Item Title","Item Description","Item Quantity","Unit of Measure","Consignee ID","Delivery Period (In number of days)"
1,"Boring tool a two aero two zero one five el two two ","Boring tool a two aero two zero one five el two two ",1,"Nos","WKSPSERVICES@506",15
2,"Parting tool n v r sixteen three r w","Parting tool n v r sixteen three r w",1,"Nos","WKSPSERVICES@506",15
3,"Turning insert three mm l t sixteen e r","Turning insert three mm l t sixteen e r",10,"Nos","WKSPSERVICES@506",15
4,"Boring inserts two mm l t twenty two n r six a c m e","Boring inserts two mm l t twenty two n r six a c m e",10,"Nos","WKSPSERVICES@506",15
5,"Parting inserts three mm l t sixteen","Parting inserts three mm l t sixteen",10,"Nos","WKSPSERVICES@506",15
6,"Parting inserts one mm l t sixteen n r","Parting inserts one mm l t sixteen n r",10,"Nos","WKSPSERVICES@506",15
7,"Grooving inserts two mm two i r ","Grooving inserts two mm two i r ",10,"Nos","WKSPSERVICES@506",15
8,"Grooving inserts three mm three i r ","Grooving inserts three mm three i r ",10,"Nos","WKSPSERVICES@506",15
9,"Drilling inserts c c m t zero nine t three zero eight f p ","Drilling inserts c c m t zero nine t three zero eight f p ",10,"Nos","WKSPSERVICES@506",15
10,"Turning insert rough turn t c f one zero zero four zero eight e p v three four","Turning insert rough turn t c f one zero zero four zero eight e p v three four",10,"Nos","WKSPSERVICES@506",15
11,"Turning insert rough turn t c f one two zero four zero five e c v three four","Turning insert rough turn t c f one two zero four zero five e c v three four",10,"Nos","WKSPSERVICES@506",15
12,"Turning insert finish turn w m t c zero three zero n zero zero c m seventeen ","Turning insert finish turn w m t c zero three zero n zero zero c m seventeen ",10,"Nos","WKSPSERVICES@506",15
13,"Turning insert w m t c zero two zero n zero zero c m eighteen","Turning insert w m t c zero two zero n zero zero c m eighteen",10,"Nos","WKSPSERVICES@506",15
14,"Threading inserts h c p twenty five t b six zero twenty five two i r","Threading inserts h c p twenty five t b six zero twenty five two i r",10,"Nos","WKSPSERVICES@506",15
15,"Turning insert v c m t sixteen t three zero four","Turning insert v c m t sixteen t three zero four",10,"Nos","WKSPSERVICES@506",15
