Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,MOTOR FOR PORATBLE DRILLING MACHINE,As per item 1 of buyer specification,1,piece,sunilkmr,45
2,MOTOR FOR ENCAPSULATION PLANT,As per item 2 of buyer specification,2,piece,sunilkmr,45
3,MOTOR FOR ENCAPSULATION PLANT LESSER RATING,As per item 3 of buyer specification,2,piece,sunilkmr,45
4,MOTOR FOR HEATING OVEN,As per item 4 of buyer specification,3,piece,sunilkmr,45
5,MOTOR FOR REDMAN CROPPING MACHINE,As per item 5 of buyer specification,2,piece,sunilkmr,45
6,MOTOR FOR SPLITTING LINE MACHINE,As per item 6 of buyer specification,1,piece,sunilkmr,45
7,MOTOR FOR SHOT BLAST MACHINE,As per item 7 of buyer specification,3,piece,sunilkmr,45
8,MOTOR FOR PORATBLE DRILLING MACHINE NEW,As per item 8 of buyer specification,5,piece,sunilkmr,45
9,6.7 HP PORTABLE DRILL MACHINE MOTO,As per item 9 of buyer specification,1,piece,sunilkmr,45
10,MOTOR FOR CROPPING LINE SOENEN MACHINE,As per item 10 of buyer specification,2,piece,sunilkmr,45
11,SHOT BLAST PLANT MOTOR 90L,As per item 11 of buyer specification,1,piece,sunilkmr,45
12,MOTOR FOR RADIAL ARM DRILLING MACHINE,As per item 12 of buyer specification,1,piece,sunilkmr,45
13,MOTOR FOR HORIZONTAL WINDING MACHINE,As per item 13 of buyer specification,1,piece,sunilkmr,45
14,MOTOR FOR VACUUM PUMP and WINDING MACHINE,As per item 14 of buyer specification,5,piece,sunilkmr,45
15,COOLANT PUMP FOR GRINDER,As per item 15 of buyer specification,2,piece,sunilkmr,45
16,COOLANT PUMP FOR RADIAL ARM DRILLING MACHINE,As per item 16 of buyer specification,10,piece,sunilkmr,45
