Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Polypropylene Tape ,Transparent Polypropylene Tape of length 50 mtr,80,No,ksarbadhikary,10
2,Pilot blue ballpoint pen ,Pilot 1.9mm plastic blue ballpoint pen,50,No,ksarbadhikary,10
3,Pilot black ballpoint pen ,Pilot 1.9mm plastic black ballpoint pen,40,No,ksarbadhikary,10
4,A4 Grade 1 Carbon Papers,Packet of 100 A4 Grade 1 Carbon Papers,5,No,ksarbadhikary,10
5,Pilot plastic ballpoint pen ,Pilot 0.7mm plastic ballpoint pen ,25,No,ksarbadhikary,10
6,Blue color highlighters,Blue color highlighters,150,No,ksarbadhikary,10
7,Black color Permanent Marker,Black color Permanent Marker,100,No,ksarbadhikary,10
8,Polypropylene Tape ,Transparent Polypropylene Tape of length 100 mtr,20,No,ksarbadhikary,10
9,Glossy Paper ,Glossy Paper ,1,Ream,ksarbadhikary,10
10,Envelope ,Envelope 80 GSM,1250,No,ksarbadhikary,10
11,Yellow Pocket shape Envelope, Yellow Pocket shape Envelope,1125,No,ksarbadhikary,10
12,Brown Pocket shape Envelope,Brown Pocket shape Envelope,100,No,ksarbadhikary,10
13,White Pocket shape Envelope,White Pocket shape Envelope,325,No,ksarbadhikary,10
14,Scissor,Scissor,10,No,ksarbadhikary,10
15,Register,100 Pages Register,150,No,ksarbadhikary,10
16,Binder Clip,Binder Clip 63mm,30,No,ksarbadhikary,10
17,Binder Clip,Binder Clip 30mm,30,No,ksarbadhikary,10
18,Liquid Gum,Liquid Gum,500,No,ksarbadhikary,10
19,Transparent adhesive,Transparent adhesive,500,No,ksarbadhikary,10
20,Camel Liquid Gum,Camel Liquid Gum,500,No,ksarbadhikary,10
21,Wrapping paper,Wrapping paper,250,No,ksarbadhikary,10
22,Spring Binder Clip 51mm,Spring Binder Clip 51mm,500,No,ksarbadhikary,10
23,Spring Binder Clip 19mm,Spring Binder Clip 19mm,500,No,ksarbadhikary,10
24,8 ml correction fluid, 8 ml correction fluid,10,No,ksarbadhikary,10
25,Transparent Tape,Transparent Tape,50,No,ksarbadhikary,10
26,A4 Size paper,A4 Size paper,400,Ream,ksarbadhikary,10
27,Stamp pad,Stamp pad,20,No,ksarbadhikary,10
28,White pencil Eraser,White pencil Eraser,10,No,ksarbadhikary,10
29,Sticky Note,Sticky Note,50,No,ksarbadhikary,10
30,Staple Pins 23 by 13,Staple Pins 23/13,500,No,ksarbadhikary,10
31,Staple Pins 10 by 4,Staple Pins 10/4,500,No,ksarbadhikary,10
32,Sketch Pens,Staple Pins 10/4,50,No,ksarbadhikary,10
33,Flags,Flags,100,No,ksarbadhikary,10
34,Board File cover,Board File cover,50,No,ksarbadhikary,10
35,File Cover,File Cover,1500,No,ksarbadhikary,10
36,Glue stick,Glue stick,50,No,ksarbadhikary,10
37,Green color highlighter,Green color highlighter,100,No,ksarbadhikary,10
38,Graph Paper,Graph Paper,1,No,ksarbadhikary,10
39,HB Paper,HB Paper,25,Pkt,ksarbadhikary,10
40,Sharpner,Sharpner,50,No,ksarbadhikary,10
41,Register 300 pages ,Register 300 pages ,100,No,ksarbadhikary,10
42,Plastic scale ,Plastic scale ,500,No,ksarbadhikary,10
43,V7 Pen ,V7 Pen ,50,No,ksarbadhikary,10
44,Punching Machine ,Punching Machine ,5,No,ksarbadhikary,10
45,Calculator,Calculator,25,No,ksarbadhikary,10
46,A5 Paper ,70 GSM A5 Paper ,250,Ream,ksarbadhikary,10
47,Blue ball pen ,Blue ball pen ,100,No,ksarbadhikary,10
48,Black Ball Pen,Black Ball Pen,50,No,ksarbadhikary,10
49,Red Ball Pen,Red Ball Pen,50,No,ksarbadhikary,10
50,70gsm FS size paper,Ream of 500 sheets 70gsm FS size,100,Ream,ksarbadhikary,11
