Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Shelter Parts Complete for Living Shelter ORL Double Storey,Shelter Parts Complete for Living Shelter ORL Double Storey,3,Set,parikshit_CK,45
2,PCC Cement IS 1489,PCC Cement IS 1489,1860,Bags,parikshit_CK,45
3,Coarse Sand,Coarse Sand,141,Cum,parikshit_CK,45
4,20mm Aggregates,20mm Aggregates,114,Cum,parikshit_CK,45
5,40mm Aggregates,40mm Aggregates,69,Cum,parikshit_CK,45
6,Hardcore 63mm Stone Aggegates,Hardcore 63mm Stone Aggegates,81,Cum,parikshit_CK,45
7,PCC Solid Block 400 into 200 into 200mm,PCC Solid Block 400 into 200 into 200mm,1896,Nos,parikshit_CK,45
8,Non Skid Ceramic Coloured Digital Tile of Size 1200 mm into 600mm into 9 to 10 mm thick,Non Skid Ceramic Coloured Digital Tile of Size 1200 mm into 600mm into 9 to 10 mm thick,1221,Nos,parikshit_CK,45
9,Interlocking Paver Block of size 225 into 112 point 50mm conf to IS ,Interlocking Paver Block of size 225 into 112 point 50mm conf to IS ,1437,Nos,parikshit_CK,45
10,PCC Kerb Stone Type B1 20mm Graded Stone Aggregate of 300mm into 100mm into 300mm ,PCC Kerb Stone Type B1 20mm Graded Stone Aggregate of 300mm into 100mm into 300mm ,210,Nos,parikshit_CK,45
11,Kerb Stone Synthetic Enamel Paint Yellow and Black Colour,Kerb Stone Synthetic Enamel Paint Yellow and Black Colour,18,Ltr,parikshit_CK,45
12,Red Oxide Primer,Red Oxide Primer,6,Ltr,parikshit_CK,45
13,Turpentine Oil Thinner,Turpentine Oil Thinner,6,Ltr,parikshit_CK,45
14,Painting Brush 3 Inch of best Quality,Painting Brush 3 Inch of best Quality,3,Nos,parikshit_CK,45
15,White Cement ,White Cement ,150,kgs,parikshit_CK,45
16, TMT Bars 8mm dia, TMT Bars 8mm dia,990,kgs,parikshit_CK,45
17, TMT Bar 10mm dia, TMT Bar 10mm dia,5220,kgs,parikshit_CK,45
18, TMT Bar 12mm dia, TMT Bar 12mm dia,1050,kgs,parikshit_CK,45
19, TMT Bar 16mm dia, TMT Bar 16mm dia,3090,kgs,parikshit_CK,45
20,Alumunium Composite Panel Size 1 Point 50 into 1,Alumunium Composite Panel Size 1 Point 50 into 1,3,Nos,parikshit_CK,45
21,Stainless Steel 300mm Long ,Stainless Steel 300mm Long ,30,Nos,parikshit_CK,45
22,Water Proofing Compound ,Water Proofing Compound ,24,Kgs,parikshit_CK,45
23,Lime for white Wash,Lime for white Wash,45,Kgs,parikshit_CK,45
24,Binding Wire  Zero Point 90mm,Binding Wire  Zero Point 90mm,60,Kgs,parikshit_CK,45
25,Plywood 12mm thick size 8 feet into 4 feet,Plywood 12mm thick size 8 feet into 4 feet,36,Nos,parikshit_CK,45
26,Balli 100mm dia 3 Mtr,Balli 100mm dia 3 Mtr,120,Nos,parikshit_CK,45
27,Wooden Runners 2 Inch into 2 Inch,Wooden Runners 2 Inch into 2 Inch,750,RM,parikshit_CK,45
28,Nails ,Nails ,60,Kgs,parikshit_CK,45
29,LC Set Complete with Chemical with all accessories as per Appx I of TS,LC Set Complete with Chemical with all accessories as per Appx I of TS,3,Set,parikshit_CK,45
30,Electric Earthing Set Complete with all accessories as per Appx I of TS,Electric Earthing Set Complete with all accessories as per Appx I of TS,3,Set,parikshit_CK,45
31,Surface and Wall mounted LED Tube Rod 25 by 20 Watt 1600 Lumens output with suitable fittings ,Surface and Wall mounted LED Tube Rod 25 by 20 Watt 1600 Lumens output with suitable fittings ,90,Nos,parikshit_CK,45
32,Pixel Bulb Head Fittings LED Lamp 15 Watt,Pixel Bulb Head Fittings LED Lamp 15 Watt,12,Nos,parikshit_CK,45
33,Surface and Wall mounted LED Battern with Niano LED Fittings  9 Watt Tube Rod,Surface and Wall mounted LED Battern with Niano LED Fittings  9 Watt Tube Rod,12,Nos,parikshit_CK,45
34,Ceiling Fan 1200mm with regulator,Ceiling Fan 1200mm with regulator,48,Nos,parikshit_CK,45
35,Exhaust Fan 300mm with heavy Motor,Exhaust Fan 300mm with heavy Motor,18,Nos,parikshit_CK,45
36,PVC Insulated Heavy Duty 1100 Volt grade cable with alumunium conductor 3 point 5 core and 16 Sqmm  Served ,PVC Insulated Heavy Duty 1100 Volt grade cable with alumunium conductor 3 point 5 core and 16 Sqmm  Served ,300,RM,parikshit_CK,45
37,PVC Sheathered unarmoured standrad Copper conductor cable  of size 6 Sqmm conf to ISI Marked,PVC Sheathered unarmoured standrad Copper conductor cable  of size 6 Sqmm conf to ISI Marked,3,Roll,parikshit_CK,45
