Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,saree evam blouse,5.5 meter high quality kadhai yukt shreeji bridal  Lahaga kadhai yukt,4860,nos,con.chandauli,90
2,peticoat,peticoat,4860,nos,con.chandauli,90
3,chunari,2.25 meter,972,nos,con.chandauli,90
4,pant ka kapda,1.2 meter ,972,nos,con.chandauli,90
5,shirt ka kapda,2.25 meter ,972,nos,con.chandauli,90
6,Feta amcha,2.25 meter,972,nos,con.chandauli,90
7,chandi ki bichiya 1 Jodi,10 grams 65 tanch,972,nos,con.chandauli,90
8,chandi ki payal 1 jodi ,30 grams 65 tanch,972,nos,con.chandauli,90
9,Dinner set steel ,Minimum 8 kilograms,972,nos,con.chandauli,90
10,pressure cooker,5 liter I.S.I Mark howkingss,972,nos,con.chandauli,90
11,kadai aluminium,5 kilograms,972,nos,con.chandauli,90
12,trolley bag,47B  28 D  66 H cm Brand VIP ,972,nos,con.chandauli,90
13,vanity kit,vanity kit fiberbox,972,nos,con.chandauli,90
14,deewar ghari,deewar ghari,972,nos,con.chandauli,90
15,ceiling fan ,1 Nag 12 mm Usha bajaj compony,972,nos,con.chandauli,90
16, cool cage Water,1 Nag  10 Liter Milton cello,972,nos,con.chandauli,90
17,iron press,1 Nag Usha  bajaj compony,972,nos,con.chandauli,90
18,dabal bed chadar ,dabal bed chadar ,972,nos,con.chandauli,90
19,Double layer blanket  Singal Bed,2 Nag,1944,nos,con.chandauli,90
20, Gadda mattress Singal Bed PU Fome Cover ke sath ,2 Nag,1944,nos,con.chandauli,90
21,Pillow  ,2  Nag,1944,nos,con.chandauli,90
22,Sinhora,1 Nag,972,nos,con.chandauli,90
23,Bangles Red color,24 NOS,23328,nos,con.chandauli,90
24, Kangan Lakh Padharth ka ,4 Nag,3888,nos,con.chandauli,90
