Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Digital SLR Camera with Macro and portrait Lences,Digital SLR Camera with Macro and portrait Lences,1,No,mdcclk2,20
2,Camera carrying case,Camera carrying case,1,No,mdcclk2,20
3,Tripod for Camera,Tripod for Camera,1,No,mdcclk2,20
4,Ring flash LED,Ring flash LED,1,No,mdcclk2,20
5,Standard Flash for Camera Mounting,Standard Flash for Camera Mounting,1,No,mdcclk2,20
6,Slave flash units with reflectors,Slave flash units with reflectors,2,No,mdcclk2,20
7,Background screen with stand,Background screen with stand,1,No,mdcclk2,20
8,Cheek retractors self retaining pediatric size,Cheek retractors self retaining pediatric size,5,No,mdcclk2,20
9,Cheek retractors self retainig Adult size,Cheek retractors self retainig Adult size,10,No,mdcclk2,20
10,Cheek retractors non self retaining double ended ss,Cheek retractors non self retaining double ended ss,10,No,mdcclk2,20
11,Intra oral mirrors Set comprising occlusal adult 01 Occlusal Pediatric 01 Lateral 01,Intra oral mirrors Set comprising occlusal adult 01 Occlusal Pediatric 01 Lateral 01,20,No,mdcclk2,20
12,SS tray with lid 12 15 size,SS tray with lid 12 15 size,2,NO,mdcclk2,20
13,Cheatle forceps,Cheatle forceps,1,No,mdcclk2,20
14,Upright chair with adjustable head rest,Upright chair with adjustable head rest,1,No,mdcclk2,20
