Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Common Cold Tab,Common Cold Tab,21000,Nos,RMO.63RRBN,20
2,Iburprofen 200mg Tab,Iburprofen 200mg Tab,3000,Nos,RMO.63RRBN,20
3,Paracetamol 10mg Infusion in 100ml,Paracetamol 10mg Infusion in 100ml,600,Bottle,RMO.63RRBN,20
4,Etoricoxib 120mg Tab,Etoricoxib 120mg Tab,1800,Nos,RMO.63RRBN,20
5,Febuxostat 40mg Tab,Febuxostat 40mg Tab,3000,Nos,RMO.63RRBN,20
6,Levocetrizine 5mg Tab,Levocetrizine 5mg Tab,18000,Nos,RMO.63RRBN,20
7,Suspension Fexofenadine 60ml,Suspension Fexofenadine 60ml,600,Bottle,RMO.63RRBN,20
8,Levetiracetam 500mg Tab,Levetiracetam 500mg Tab,3000,Nos,RMO.63RRBN,20
9,Gabapentin 300mg Cap,Gabapentin 300mg Cap,3000,Nos,RMO.63RRBN,20
10,Doxophylline 400mg Tab,Doxophylline 400mg Tab,6000,Nos,RMO.63RRBN,20
11,Clotrimazole Mouth Paint,Clotrimazole Mouth Paint,300,Nos,RMO.63RRBN,20
12,Inj Ceftriaxone 500mg,Inj Ceftriaxone 500mg,300,Nos,RMO.63RRBN,20
13,Tranexamic Acid Inj,Tranexamic Acid Inj,600,Nos,RMO.63RRBN,20
14,Mannitol 20 percentage 100ml,Mannitol 20 percentage 100ml,300,Bottle,RMO.63RRBN,20
15,Tab Ticagrelor 90mg,Tab Ticagrelor 90mg,360,Nos,RMO.63RRBN,20
16,Rosuvastatin 5mg Tab,Rosuvastatin 5mg Tab,1200,Nos,RMO.63RRBN,20
17,Labetolol 100mg Tab,Labetolol 100mg Tab,600,Nos,RMO.63RRBN,20
18,Clopidogrel 75mg,Clopidogrel 75mg,9000,Nos,RMO.63RRBN,20
19,Clonidine 100mg Tab,Clonidine 100mg Tab,600,Nos,RMO.63RRBN,20
20,Telmisertan 40mg,Telmisertan 40mg,6000,Nos,RMO.63RRBN,20
21,Antiseptic Mouth Wash,Antiseptic Mouth Wash,600,Nos,RMO.63RRBN,20
22,Clotrimazole Pulv 1 percentage 75gm,Clotrimazole Pulv 1 percentage 75gm,600,Bottle,RMO.63RRBN,20
23,Ketoconazole Cream,Ketoconazole Cream,900,Nos,RMO.63RRBN,20
24,Tab Dutasteride 0 point 5 mg,Tab Dutasteride 0 point 5 mg,600,Nos,RMO.63RRBN,20
25,Fruseamide 20mg 2ml Inj,Fruseamide 20mg 2ml Inj,120,Nos,RMO.63RRBN,20
26,Clarithromycin 500mg Tab,Clarithromycin 500mg Tab,1200,Nos,RMO.63RRBN,20
27,Sucralafate Syp,Sucralafate Syp,300,Nos,RMO.63RRBN,20
28,Loperamide 2mg tab,Loperamide 2mg tab,600,Nos,RMO.63RRBN,20
29,Tab Thyroxine 50mg,Tab Thyroxine 50mg,600,Nos,RMO.63RRBN,20
30,Tab Metformin  SR 0 point 5mg,Tab Metformin  SR 0 point 5mg,3000,Nos,RMO.63RRBN,20
31,Magnessium Sulphate Inj,Magnessium Sulphate Inj,30,Nos,RMO.63RRBN,20
32,Gentamycin Sulphate Inj,Gentamycin Sulphate Inj,30,Nos,RMO.63RRBN,20
33,Tourniquet ,Tourniquet ,30,Nos,RMO.63RRBN,20
34,Knife Bard Parker Blade size 23,Knife Bard Parker Blade size 23,30,Nos,RMO.63RRBN,20
35,Dressing wound 10 into 20cm,Dressing wound 10 into 20cm,60,Nos,RMO.63RRBN,20
