Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,HEATING ELEMENT 1 5 KW,HEATING ELEMENT 1 5 KW,2,Nos,ocirw,15
2,THERMOSTAT FOR STERILIZER,THERMOSTAT FOR STERILIZER,2,Nos,ocirw,15
3,3 CORE AC CABLE 15 AMP,3 CORE AC CABLE 15 AMP,4,Nos,ocirw,15
4,AIR TUBE FOR NEBULISER,AIR TUBE FOR NEBULISER,1,Nos,ocirw,15
5,PATIENT MASK SET FOR NEBULIZER,PATIENT MASK SET FOR NEBULIZER,1,Nos,ocirw,15
6,NIBP PROBE FOR DEFIBRILLATOR,NIBP PROBE FOR DEFIBRILLATOR,2,Nos,ocirw,15
7,AC MOTOR FOR FOGGER MACHINE,AC MOTOR FOR FOGGER MACHINE,1,Nos,ocirw,15
8,3 7 V RECHARGEABLE BTY FOR HAND HELD FETAL DOPPLER,3 7 V RECHARGEABLE BTY FOR HAND HELD FETAL DOPPLER,2,Nos,ocirw,15
9,THERMOSTATE FOR AUTOCLAVE,THERMOSTATE FOR AUTOCLAVE,1,Nos,ocirw,15
10,HEATING ELEMENT 9 KW FOE AUTO CLAVE,HEATING ELEMENT 9 KW FOE AUTO CLAVE,1,Nos,ocirw,15
11,100 AMP 690V FUSE AUTO CLAVE,100 AMP 690V FUSE AUTO CLAVE,1,Nos,ocirw,15
12,PERSSURE PIPE FOR AUTO CLAVE,PERSSURE PIPE FOR AUTO CLAVE,1,Nos,ocirw,15
13,BULLNOSE FITTING OF OXYGEM CYLINDER,BULLNOSE FITTING OF OXYGEM CYLINDER,1,Nos,ocirw,15
