Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Colposcope,Colposcope,4,pieces,sourcing2,90
2,Double Puncture Laparoscope,Double Puncture Laparoscope,3,pieces,sourcing2,90
3,Hysteroscope,Hysteroscope,5,pieces,sourcing2,90
4,Protoscope,Protoscope,3,pieces,sourcing2,90
5,Single Puncture laparoscope,Single Puncture laparoscope,5,pieces,sourcing2,90
6,Video Optic Laryngoscope,Video Optic Laryngoscope,4,pieces,sourcing2,90
7,Intermittent compression device for DVT prophylaxis,Intermittent compression device for DVT prophylaxis,9,pieces,sourcing2,90
8,OT LED Shadow less Lamp,OT LED Shadow less Lamp,6,pieces,sourcing2,90
9,OT Light-ceiling double dome,OT Light-ceiling double dome,9,pieces,sourcing2,90
10,OT Light-ceiling single dome,OT Light-ceiling single dome,6,pieces,sourcing2,90
11,OT Table,OT Table,9,pieces,sourcing2,90
12,Portable LED Standing Light,Portable LED Standing Light,24,pieces,sourcing2,90
13,Movable Shadow Less Spotlights With Adjustable Arms,Movable Shadow Less Spotlights With Adjustable Arms,10,pieces,sourcing2,90
14,CPAP,CPAP,15,pieces,sourcing2,90
15,Bubble CPAP,Bubble CPAP,16,pieces,sourcing2,90
16,Radiant Warmer,Radiant Warmer,15,pieces,sourcing2,90
17,Phototherapy,Phototherapy,12,pieces,sourcing2,90
18,Oxygen Concentrator-Dual Port,Oxygen Concentrator-Dual Port,12,pieces,sourcing2,90
19,Fully Auto Biochemistry Analyzer,Fully Auto Biochemistry Analyzer,1,pieces,sourcing2,90
20,C T G  with Dual Probe,C T G  with Dual Probe,12,pieces,sourcing2,90
