Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,1.5 Ton AC,1.5 Ton AC,11,Each,geafjodhpur1,50
2,1.5 Ton AC,1.5 Ton AC,56,Each,offgbso,50
3,2.0 Ton AC,2.0 Ton AC,68,Each,geafjodhpur1,50
4,2.0 Ton AC,2.0 Ton AC,35,Each,offgbso,50
5,Supply and fixing of MS Stand ,Supply and fixing of MS Stand ,91,Each,offgbso,50
6,Supply and laying of cable,Supply and laying of cable,100,Each,offgbso,50
7,Supply and installation of Electric water cooler,Supply and installation of Electric water cooler,15,Each,geafjodhpur1,50
8,Supply and installation of Electric water cooler,Supply and installation of Electric water cooler,3,Each,geafjodhpur1,50
9,Supply and installation of Electric water cooler,Supply and installation of Electric water cooler,1,Each,geafjodhpur1,50
10,Supply and installation of Deep Freezer,Supply and installation of Deep Freezer,3,Each,geafjodhpur1,50
11,Supply and installation of Refrigerator,Supply and installation of Refrigerator,6,Each,geafjodhpur1,50
12,Supply and installation of Refrigerator,Supply and installation of Refrigerator,8,Each,geafjodhpur1,50
13,Supply and installation of Desert cooler,Supply and installation of Desert cooler,53,Each,geafjodhpur1,50
14,Supply and fixed MCB 20 Amp,Supply and fixed MCB 20 Amp,40,Each,geafjodhpur1,50
15,Supply and fixed MCB 20 Amp,Supply and fixed MCB 20 Amp,91,Each,offgbso,50
16,Supply and fixed sub main wiring ,Supply and fixed sub main wiring ,158,RM,geafjodhpur1,50
17,Supply and fixed sub main wiring ,Supply and fixed sub main wiring ,450,RM,offgbso,50
18,Supply and fixed copper wire,Supply and fixed copper wire,70,RM,geafjodhpur1,50
19,Supply and fixed copper wire,Supply and fixed copper wire,120,RM,offgbso,50
20,Supply and fixed copper wire,Supply and fixed copper wire,70,RM,geafjodhpur1,50
21,Supply and fixed copper wire,Supply and fixed copper wire,100,RM,offgbso,50
22,Supply and fixed copper wire,Supply and fixed copper wire,70,RM,geafjodhpur1,50
23,Supply and fixed copper wire,Supply and fixed copper wire,100,RM,offgbso,50
24,Supply and fixed PVC drain pipe,Supply and fixed PVC drain pipe,70,RM,geafjodhpur1,50
25,Supply and fixed PVC drain pipe,Supply and fixed PVC drain pipe,100,RM,offgbso,50
